"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351"
"1",1,1,1,1,1,0,0,0,0,0.852750809061489,1,0.162420382165605,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.00630914826498423,1,1,0,0,1,0,0,0,0.00618238021638331,0.849918433931484,0,0,1,0,0,0,0.822605965463108,1,0.805513016845329,1,1,0.981510015408321,0,0,1,0,0,1,1,0,0,1,0,0.156494522691706,1,1,0,0,0,0.143974960876369,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.822503961965135,0,1,0,0,1,0.0232945091514143,0.993610223642173,0.0291734197730956,0,1,0,0.173076923076923,0,0,0.843700159489633,1,0,1,0,0,0,0,0,1,0,0,1,0.00786163522012579,0,1,0.0144,0,0,1,1,1,1,0,0,0.149300155520995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.981337480559876,0,0.332802547770701,0,1,0.00159489633173844,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0.156398104265403,0,0,1,0.00305343511450382,0.0031496062992126,0,1,0,1,0,1,0.00319488817891374,1,1,1,0,0,0,1,0,0,0,0,0,0,0.998422712933754,0,1,0,1,1,0,0,0.647909967845659,0.847003154574132,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0.0093167701863354,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0.00810372771474878,0,0.171156893819334,0.846645367412141,0.00313971742543171,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0.00152671755725191,0,0,1,0,1,1,0,0,1,0.167471819645733,0.00152905198776758,1,0,0,1,0,0.132192846034215,1,0,0,1,1,0,1,0,0,0.810852713178295,0,0.165884194053208,1,1,0,0,0,0,1,0,0,1,1,0,0.139937106918239,1
"2",1,1,1,1,1,0,0,0,0,0.844690966719493,1,0.164296998420221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.00628930817610063,1,1,0,0,1,0,0,0,0.0062015503875969,0.832781456953642,0,0,1,0,0,0,0.809904153354633,1,0.790625,1,1,0.981132075471698,0,0,1,0,0,1,1,0,0,1,0,0.162974683544304,1,1,0,0,0,0.153965785381026,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.818181818181818,0,1,0,0,1,0.0226171243941842,0.99347471451876,0.0260162601626016,0,1,0,0.171701112877583,0,0,0.83147853736089,1,0,1,0,0,0,0,0,1,0,0,1,0.00796178343949045,0,1,0.0161290322580645,0,0,1,1,1,1,0,0,0.148205928237129,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.981102362204724,0,0.343949044585987,0,1,0.00159489633173844,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0.157051282051282,0,0,1,0.00308166409861325,0.00158227848101266,0,1,0,1,0,1,0.00320512820512821,1,1,1,0,0,0,1,0,0,0,0,0,0,0.998402555910543,0,1,0,1,1,0,0,0.646003262642741,0.8304,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0.009375,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0.00491803278688525,0,0.169572107765452,0.829307568438003,0.00159744408945687,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0.00150375939849624,0,0,1,0,1,1,0,0,1,0.167987321711569,0.00154798761609907,1,0,0,1,0,0.138364779874214,1,0,0,1,1,0,1,0,0,0.805810397553517,0,0.160246533127889,1,1,0,0,0,0,1,0,0,1,1,0,0.138486312399356,1
"3",1,1,1,1,1,0,0,0,0,0.849293563579278,1,0.167434715821813,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.00609756097560976,1,1,0,0,1,0,0,0,0.00754147812971342,0.85511811023622,0,0,1,0,0,0,0.820433436532508,1,0.806354009077156,1,1,0.983257229832572,0,0,1,0,0,1,1,0,0,1,0,0.167173252279635,1,1,0,0,0,0.149476831091181,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.826625386996904,0,1,0,0,1,0.0207006369426752,0.995327102803738,0.0302547770700637,0,1,0,0.175654853620955,0,0,0.837672281776417,1,0,1,0,0,0,0,0,1,0,0,1,0.013719512195122,0,1,0.0139318885448916,0,0,1,1,1,1,0,0,0.152798789712557,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.980273141122914,0,0.331269349845201,0,1,0.0015600624024961,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0.158705701078582,0,0,1,0.0029673590504451,0.0061633281972265,0,1,0,1,0,1,0.00461538461538462,1,1,0.998507462686567,0,0,0,1,0,0,0,0,0,0,0.998432601880878,0,1,0,1,1,0,0,0.651828298887122,0.849293563579278,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0.00763358778625954,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0.00478468899521531,0,0.173374613003096,0.839622641509434,0.0015527950310559,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0.0029673590504451,0,0,1,0,1,1,0,0,1,0.157650695517774,0.00149476831091181,1,0,0,1,0,0.137404580152672,1,0,0,1,1,0,1,0,0,0.813609467455621,0,0.168469860896445,1,1,0,0,0,0,1,0,0,1,1,0,0.141524105754277,1
"4",1,1,1,1,1,0,0,0,0,0.856918238993711,1,0.183098591549296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0062402496099844,1,1,0,0,1,0,0,0,0.00610687022900763,0.855305466237942,0,0,1,0,0,0,0.817896389324961,1,0.803432137285491,1,1,0.986259541984733,0,0,1,0,0,1,1,0,0,1,0,0.181114551083591,1,1,0,0,0,0.156773211567732,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.822784810126582,0,1,0,0,1,0.0176565008025682,0.993740219092332,0.0319488817891374,0,1,0,0.183098591549296,0,0,0.838258164852255,1,0,1,0,0,0,0,0,1,0,0,1,0.0108864696734059,0,1,0.0126182965299685,0,0,1,1,1,1,0,0,0.161538461538462,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.981538461538462,0,0.340625,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0.171701112877583,0,0,1,0.00302114803625378,0.0061633281972265,0,1,0,1,0,1,0.00311526479750779,1,1,0.998518518518518,0,0,0,1,0,0,0,0,0,0,0.9984,0,1,0,1,1,0,0,0.641838351822504,0.846275752773376,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0.0062015503875969,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0.00646203554119548,0,0.183385579937304,0.84458398744113,0.00155763239875389,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0.00300751879699248,0,0,1,0,1,1,0,0,1,0.175911251980983,0.00298507462686567,1,0,0,1,0,0.14525993883792,1,0,0,1,1,0,1,0,0,0.813918305597579,0,0.177570093457944,1,1,0,0,0,0,1,0,0,1,1,0,0.151898734177215,1
"5",1,1,1,1,1,0,0,0,0,0.856435643564356,1,0.171974522292994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.00475435816164818,1,1,0,0,1,0,0,0,0.00315457413249211,0.855721393034826,0,0,1,0,0,0,0.824561403508772,1,0.795527156549521,1,1,0.984177215189873,0,0,1,0,0,1,1,0,0,1,0,0.17219589257504,1,1,0,0,0,0.156645569620253,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0.82120253164557,0,1,0,0,1,0.0163398692810458,0.995153473344103,0.0263157894736842,0,1,0,0.179650238473768,0,0,0.837662337662338,1,0,1,0,0,0,0,0,1,0,0,1,0.0128410914927769,0,1,0.0130081300813008,0,0,1,1,1,1,0,0,0.161858974358974,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.981132075471698,0,0.340836012861736,0,1,0.00162074554294976,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0.162379421221865,0,0,1,0.00309597523219814,0.00630914826498423,0,1,0,1,0,1,0.00319488817891374,1,1,0.998475609756098,0,0,0,1,0,0,0,0,0,0,0.998397435897436,0,1,0,1,1,0,0,0.651960784313726,0.847290640394089,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0.0064,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0.00819672131147541,0,0.170692431561997,0.845024469820555,0.00158982511923688,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0.00308641975308642,0,0,1,0,1,1,0,0,1,0.169354838709677,0.00305810397553517,1,0,0,1,0,0.144694533762058,1,0,0,1,1,0,1,0,0,0.806299212598425,0,0.166402535657686,1,1,0,0,0,0,1,0,0,1,1,0,0.15359477124183,1
"6",0,0,0,0,0,1,1,1,1,0.151712887438825,0,0.8272,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0.992063492063492,0,0,1,1,0,1,1,1,0.992211838006231,0.157377049180328,1,1,0,1,1,1,0.192926045016077,0,0.205696202531646,0,0,0.014018691588785,1,1,0,1,1,0,0,1,1,0,1,0.826224328593997,0,0,1,1,1,0.847020933977456,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0.191247974068071,1,0,1,1,0,0.978369384359401,0.00482315112540193,0.968698517298188,1,0,1,0.817322834645669,1,1,0.168831168831169,0,1,0,1,1,1,1,1,0,1,1,0,0.985576923076923,1,0,0.986928104575163,1,1,0,0,0,0,1,1,0.842948717948718,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0173775671406003,1,0.647527910685805,1,0,0.998371335504886,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.837662337662338,1,1,0,0.995327102803738,0.993610223642173,1,0,1,0,1,0,0.995245641838352,0,0,0.0015527950310559,1,1,1,0,1,1,1,1,1,1,0.00162866449511401,1,0,1,0,0,1,1,0.359143327841845,0.1620294599018,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.988817891373802,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0.991708126036484,1,0.820967741935484,0.17124394184168,0.996805111821086,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0.996932515337423,1,1,0,1,0,0,1,1,0,0.825525040387722,0.996918335901387,0,1,1,0,1,0.856913183279743,0,1,1,0,0,1,0,1,1,0.201892744479495,1,0.83147853736089,0,0,1,1,1,1,0,1,1,0,0,1,0.857610474631751,0
"7",0,0,0,0,0,1,1,1,1,0.154093097913323,0,0.839171974522293,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0.992163009404389,0,0,1,1,0,1,1,1,0.992211838006231,0.159349593495935,1,1,0,1,1,1,0.188589540412044,0,0.202472952086553,0,0,0.0140625,1,1,0,1,1,0,0,1,1,0,1,0.839258114374034,0,0,1,1,1,0.85179407176287,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0.181528662420382,1,0,1,1,0,0.977049180327869,0.00482315112540193,0.970873786407767,1,0,1,0.827044025157233,1,1,0.169572107765452,0,1,0,1,1,1,1,1,0,1,1,0,0.988924050632911,1,0,0.989028213166144,1,1,0,0,0,0,1,1,0.854714064914992,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0155763239875389,1,0.664556962025316,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.846518987341772,1,1,0,0.995454545454545,0.995253164556962,1,0,1,0,1,0,0.996815286624204,0,0,0,1,1,1,0,1,1,1,1,1,1,0.0016,1,0,1,0,0,1,1,0.341977309562399,0.165341812400636,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.990566037735849,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0.99185667752443,1,0.834405144694534,0.161030595813205,0.996845425867508,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0.996951219512195,1,1,0,1,0,0,1,1,0,0.837837837837838,0.996927803379416,0,1,1,0,1,0.865325077399381,0,1,1,0,0,1,0,1,1,0.199386503067485,1,0.833073322932917,0,0,1,1,1,1,0,1,1,0,0,1,0.85691573926868,0
"8",0,0,0,0,0,1,1,1,1,0.14308426073132,0,0.835164835164835,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0.996894409937888,0,0,1,1,0,1,1,1,0.996941896024465,0.152623211446741,1,1,0,1,1,1,0.187017001545595,0,0.182380216383308,0,0,0.0153609831029186,1,1,0,1,1,0,0,1,1,0,1,0.839150227617602,0,0,1,1,1,0.854489164086687,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0.162754303599374,1,0,1,1,0,0.982511923688394,0.00464396284829721,0.971291866028708,1,0,1,0.833070866141732,1,1,0.15,0,1,0,1,1,1,1,1,0,1,1,0,0.990712074303406,1,0,0.987301587301587,1,1,0,0,0,0,1,1,0.854740061162079,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0168453292496172,1,0.679186228482003,1,0,0.998447204968944,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.848200312989045,1,1,0,0.998480243161094,0.993798449612403,1,0,1,0,1,0,0.998425196850394,0,0,0.00149253731343284,1,1,1,0,1,1,1,1,1,1,0.00157232704402516,1,0,1,0,0,1,1,0.325984251968504,0.15251572327044,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.993788819875776,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0.991909385113269,1,0.833333333333333,0.155555555555556,0.998466257668712,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0.998511904761905,1,1,0,1,0,0,1,1,0,0.837795275590551,0.997014925373134,0,1,1,0,1,0.868421052631579,0,1,1,0,0,1,0,1,1,0.174311926605505,1,0.840490797546012,0,0,1,1,1,1,0,1,1,0,0,1,0.86697965571205,0
"9",0,0,0,0,0,1,1,1,1,0.14218009478673,0,0.813586097946288,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0.993759750390016,0,0,1,1,0,1,1,1,0.995419847328244,0.144026186579378,1,1,0,1,1,1,0.180665610142631,0,0.188562596599691,0,0,0.0170542635658915,1,1,0,1,1,0,0,1,1,0,1,0.819875776397516,0,0,1,1,1,0.840625,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0.176470588235294,1,0,1,1,0,0.978964401294498,0.00484652665589661,0.965798045602606,1,0,1,0.812698412698413,1,1,0.154213036565978,0,1,0,1,1,1,1,1,0,1,1,0,0.98755832037325,1,0,0.984202211690363,1,1,0,0,0,0,1,1,0.8421875,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0187207488299532,1,0.650793650793651,1,0,0.998420221169036,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.829073482428115,1,1,0,0.996941896024465,0.993730407523511,1,0,1,0,1,0,0.996768982229402,0,0,0.00150375939849624,1,1,1,0,1,1,1,1,1,1,0.00156985871271586,1,0,1,0,0,1,1,0.352941176470588,0.148562300319489,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.992088607594937,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0.990430622009569,1,0.818325434439178,0.145135566188198,0.996845425867508,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0.998480243161094,1,1,0,1,0,0,1,1,0,0.822222222222222,0.996969696969697,0,1,1,0,1,0.854460093896714,0,1,1,0,0,1,0,1,1,0.18361153262519,1,0.821428571428571,0,0,1,1,1,1,0,1,1,0,0,1,0.848242811501597,0
"10",0.852750809061489,0.844690966719493,0.849293563579278,0.856918238993711,0.856435643564356,0.151712887438825,0.154093097913323,0.14308426073132,0.14218009478673,1,0.849757673667205,0.314845024469821,0.152647975077882,0.154838709677419,0.158756137479542,0.136507936507936,0.15016501650165,0.143987341772152,0.153970826580227,0.147013782542113,0.852380952380952,0.136291600633914,0.146067415730337,0.153726708074534,0.145867098865478,0.166139240506329,0.837096774193548,0.150306748466258,0.85828025477707,0.855095541401274,0.144409937888199,0.149443561208267,0.143518518518519,0.158982511923688,0.156050955414013,0.1536,0.846655791190865,0.85214626391097,0.138364779874214,0.148669796557121,0.848341232227488,0.146263910969793,0.143987341772152,0.144230769230769,0.155172413793103,0.995169082125604,0.132258064516129,0.159744408945687,0.845047923322684,0.154798761609907,0.14756671899529,0.140127388535032,0.974481658692185,0.837282780410742,0.950793650793651,0.853620955315871,0.855140186915888,0.832550860719875,0.15814696485623,0.150882825040128,0.853503184713376,0.136724960254372,0.151273885350318,0.853697749196141,0.845786963434022,0.143801652892562,0.153488372093023,0.8512,0.145187601957586,0.320634920634921,0.858064516129032,0.845541401273885,0.147350993377483,0.145833333333333,0.133870967741935,0.303937007874016,0.8561872909699,0.155737704918033,0.144715447154472,0.153846153846154,0.845906902086677,0.83801652892562,0.150159744408946,0.843949044585987,0.14576802507837,0.15506329113924,0.150326797385621,0.84748427672956,0.15506329113924,0.854864433811802,0.142857142857143,0.14937106918239,0.842443729903537,0.142405063291139,0.15,0.144674085850556,0.846275752773376,0.838862559241706,0.157894736842105,0.145569620253165,0.851500789889415,0.145339652448657,0.150316455696203,0.845659163987138,0.155591572123177,0.856451612903226,0.153473344103393,0.970967741935484,0.147692307692308,0.8496,0.148867313915858,0.138755980861244,0.841017488076312,0.170247933884298,0.83974358974359,0.185245901639344,0.153094462540717,0.8368,0.150485436893204,0.323943661971831,0.151815181518152,0.143312101910828,0.961290322580645,0.845528455284553,0.153970826580227,0.846153846153846,0.145896656534954,0.14375,0.141304347826087,0.148936170212766,0.149206349206349,0.842443729903537,0.14937106918239,0.1504,0.857371794871795,0.151419558359621,0.158705701078582,0.837620578778135,0.167721518987342,0.15689381933439,0.15552099533437,0.858747993579454,0.855305466237942,0.854003139717425,0.847619047619048,0.153094462540717,0.1472,0.305732484076433,0.158307210031348,0.849427168576105,0.146379044684129,0.149765990639626,0.151658767772512,0.149765990639626,0.152139461172742,0.846026490066225,0.133870967741935,0.157407407407407,0.144409937888199,0.146774193548387,0.155555555555556,0.166407465007776,0.142857142857143,0.154458598726115,0.146031746031746,0.1472,0.152866242038217,0.829953198127925,0.143780290791599,0.192063492063492,0.140625,0.845911949685535,0.158653846153846,0.143548387096774,0.144694533762058,0.144859813084112,0.850556438791733,0.847790507364975,0.148626817447496,0.84472049689441,0.138888888888889,0.162903225806452,0.152755905511811,0.150485436893204,0.150316455696203,0.856466876971609,0.845070422535211,0.856451612903226,0.149920255183413,0.163833075734158,0.848297213622291,0.835748792270531,0.155228758169935,0.850539291217257,0.1504,0.85024154589372,0.166939443535188,0.850539291217257,0.133986928104575,0.152173913043478,0.143307086614173,0.839024390243902,0.851393188854489,0.849117174959872,0.315960912052117,0.146645865834633,0.158555729984301,0.85502471169687,0.156589147286822,0.1421875,0.161949685534591,0.844094488188976,0.158139534883721,0.836990595611285,0.149038461538462,0.848580441640379,0.149593495934959,0.855784469096672,0.816770186335404,0.848998459167951,0.152597402597403,0.143987341772152,0.142857142857143,0.852564102564103,0.138582677165354,0.158950617283951,0.145454545454545,0.149920255183413,0.154213036565978,0.150882825040128,0.844551282051282,0.153094462540717,0.84251968503937,0.151515151515152,0.85243328100471,0.864823348694316,0.138977635782748,0,0.799352750809062,0.993537964458804,0.152276295133438,0.15962441314554,0.148148148148148,0.156398104265403,0.159163987138264,0.143769968051118,0.186413902053712,0.152886115444618,0.153481012658228,0.850157728706625,0.141494435612083,0.866028708133971,0.856677524429967,0.856474258970359,0.851851851851852,0.152979066022544,0.153473344103393,0.153344208809135,0.147435897435897,0.14873417721519,0.158576051779935,0.849144634525661,0.849918433931484,0.847649918962723,0.848,0.153094462540717,0.145867098865478,0.1484375,0.160975609756098,0.146422628951747,0.150793650793651,0.153970826580227,0.146067415730337,0.150641025641026,0.857142857142857,0.151090342679128,0.85048231511254,0.851851851851852,0.842433697347894,0.85781990521327,0.858054226475279,0.143081761006289,0.151181102362205,0.149108589951378,0.856481481481482,0.845410628019324,0.15625,0.147151898734177,0.163907284768212,0.145896656534954,0.323763955342903,0.988524590163934,0.154589371980676,0.152410575427683,0.152066115702479,0.165573770491803,0.840909090909091,0.150159744408946,0.855572998430141,0.160714285714286,0.849765258215962,0.155737704918033,0.143780290791599,0.142857142857143,0.162246489859594,0.852032520325203,0.85048231511254,0.155487804878049,0.157392686804452,0.158059467918623,0.848966613672496,0.144694533762058,0.848932676518883,0.87459807073955,0.159420289855072,0.142208774583964,0.852941176470588,0.318255250403877,0.1453125,0.859424920127795,0.149920255183413,0.138314785373609,0.844771241830065,0.143322475570033,0.30173775671406,0.847133757961783,0.143307086614173,0.160686427457098,0.854575163398693,0.84472049689441,0.150974025974026,0.842443729903537,0.139751552795031,0.151612903225806,0.954968944099379,0.139837398373984,0.315217391304348,0.857369255150555,0.8448,0.146919431279621,0.15251572327044,0.15506329113924,0.163232963549921,0.851030110935024,0.15112540192926,0.152173913043478,0.843354430379747,0.849056603773585,0.147487844408428,0.291666666666667,0.853269537480064
