"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0.966101694915254,0,0,0.00313479623824451,0,0,0,0,0,0.982062780269058,0,0,0,0,0,0,0,0,0,0,0,0.846969696969697,0.993874425727412,0.00630914826498423,0,0,0,0.003125,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986280487804878,0,0.182527301092044,0,0.975,0,0.976401179941003,0,0,0,0,0,0.896499238964992,0,0.00617283950617284,0.00594353640416048,0.00592592592592593,0.00306748466257669,0.00300751879699248,0,0,0,0,0,0.987841945288754,0.990461049284579,0,0,0,0.816944024205749,0,0,0,0.00153374233128834,0,0,0,0.473444613050076,0.458786936236392,0.435745937961595,0.452488687782805,0.445141065830721,0.440570522979398,0.45,0.373065015479876,0.442073170731707,0.379939209726444,0.435555555555556,0,0.285276073619632,0,0,0.857357357357357,0.758409785932722,0,0,0,0,0,0,0,0,0,0,0,0.00156494522691706,0,0,0,0,0.993690851735016,0,0.975270479134467,0,0.00302114803625378,0.00309597523219814,0.00606980273141123,0,0.351681957186544,0,0,0.996932515337423,0.0046583850931677,0.00451807228915663,0.975794251134644,0,0,0,0,0,0,0.996794871794872,0,0,0.00157728706624606,0,0,0.458914728682171,0.981510015408321,0.83763277693475,0,0,0,0.00305810397553517,0.00154798761609907,0.00153846153846154,0,0.003125,0.00150375939849624,0.481371087928465,0,0,0,0,0.974436090225564,0.629007633587786,0,0.00599700149925037,0.0031201248049922,0.473851030110935,0.981072555205047,0.996840442338073,0.987616099071207,0,0,0.613207547169811,0.466666666666667,0,0.0558139534883721,0,0,0,0.993740219092332,0.995440729483283,0,0.00305343511450382,0.00151057401812689,0.00613496932515337,0.00611620795107034,0.0062402496099844,0.0046656298600311,0,0.993779160186625,0,0,0,0,0,0,0,0
"2",0,1,0,1,1,1,0,0,0,0,0.0421875,0.00321543408360129,1,0,0,0,0,1,0,0,0.00328407224958949,0.00332225913621262,0,1,1,1,1,0.00327868852459016,0.0238473767885533,0,0,0,0,0,0,0,0,0,0,0.0114566284779051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947867298578199,0,0,0,0,0,0,0.00316957210776545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.538341158059468,0,0,0,0.467094703049759,0.418006430868167,0.0394944707740916,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00163398692810458,0.442463533225284,0.416129032258065,0,0,0,0,0,0,0,0,0,0,0,0.0976,0,0,0,0,0,0,0.646302250803859,1,1,0,0,0,0,1,1,1,0.00329489291598023,0,0,0,0,0,0,0,0.442434210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0.0124416796267496,0.995363214837713,0.995297805642633,0.985714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159126365054602,0,0.961414790996785,1,1,0,0.9856,0.987635239567233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281847133757962,0.00940438871473354,0,0,0,0,0,0,0,1,0.118935837245696,0,0.966666666666667,0.964831804281346,0.96411856474259,0.9875,0.984825493171472,0,0,0,0,1,0,0,0,0,0,0,1,0.998444790046656,0,0.987596899224806,0.988906497622821,0.989096573208723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187301587301587,0,0,0.0665634674922601,0.0718849840255591,1,0,0,0,0,0,0,0,0,0,0,0.988924050632911,0,0.989329268292683,0.865506329113924,0.00155763239875389,0,0,0,0,0.984375,0.985849056603774,0.963722397476341,0.00158227848101266,0,0,0,0,0.963722397476341,0.96583850931677,0,0,0,0,0,1,0.991935483870968,0,0,0.0128617363344051,0.985342019543974,0.360374414976599,0,0,0,0,0,0,0.991909385113269,0.984423676012461,0.985826771653543,0.985826771653543,0.991961414790997,0.971563981042654,0.992175273865415,0,0,0.882911392405063,0,0.990415335463259,0,0,0,0.967492260061919,0.988709677419355,0,0,0,0,0,0,0,0.00312989045383412,0,0.934272300469484,0,0,0,0,0,0.992,0.986003110419907,0.986068111455108,0.9625,0.962732919254658,0.965023847376789,0.96417445482866,1,0,0,0,0,0,0,0,0,0
"4",0,1,0,1,1,1,0,0,0,0,0.0311572700296736,0.00152439024390244,1,0,0,0,0,1,0,0,0.0031055900621118,0,0,1,1,1,1,0.00153374233128834,0.0225225225225225,0,0,0,0,0,0,0,0,0,0,0.00773993808049536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729483282674772,0,0,0,0,0,0,0.0015600624024961,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.554572271386431,0,0,0,0.477726574500768,0.430555555555556,0.0333839150227618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.461059190031153,0.424615384615385,0,0,0,0,0,0,0,0,0,0,0,0.0887218045112782,0,0,0,0,0,0,0.659574468085106,1,1,0,0,0,0,1,1,1,0.0015625,0,0,0,0,0,0,0,0.454121306376361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274809160305344,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5",0,1,0,1,1,1,0,0,0,0,0.0341753343239227,0.00305810397553517,1,0,0,0,0,1,0,0,0.00153609831029186,0.00314465408805031,0,1,1,1,1,0.00154083204930663,0.0225563909774436,0,0,0,0,0,0,0,0,0,0,0.00928792569659443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918836140888208,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.561011904761905,0,0,0,0.496913580246914,0.44031007751938,0.0409711684370258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00157977883096367,0.474258970358814,0.443234836702955,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.661538461538462,1,1,0,0,0,0,1,1,1,0.00158227848101266,0,0,0,0,0,0,0,0.463722397476341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382848392036753,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",0,1,0,1,1,1,0,0,0,0,0.0400616332819723,0.00313479623824451,1,0,0,0,0,1,0,0,0.00318979266347687,0.00324149108589951,0,1,1,1,1,0.00313479623824451,0.0215716486902928,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10061919504644,0,0,0,0,0,0,0.00156494522691706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.554054054054054,0,0,0,0.473186119873817,0.4181240063593,0.0388802488335925,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00157232704402516,0.456556082148499,0.422222222222222,0,0,0,0,0,0,0,0,0,0,0,0.0926216640502355,0,0,0,0,0,0,0.641538461538462,1,1,0,0,0,0,1,1,1,0.00321027287319422,0,0,0,0,0,0,0,0.443381180223285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404984423676012,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1,0.998422712933754,0.549698795180723,0.677830940988836,0.0287878787878788,0.0124610591900312,0,0,0,0,0,0,0.60790273556231,0.545731707317073,0.599063962558502,0.544426494345719,0,0,0,0,0,0.44945567651633,0.578386605783866,0.640746500777605,0.523664122137405,0.992283950617284,0.523520485584218,0.570769230769231,0,0,0,0,0,0.218897637795276,0,0,0.52931854199683,0.00316455696202532,0.614916286149163,0.607874015748031,0.990740740740741,0.674591381872214,0.623397435897436,0.6,0.53525641025641,0.515673981191223,0.537242472266244,0.601236476043277,0.603076923076923,0.540706605222734,0.528963414634146,0.533965244865719,0.605263157894737,0.610606060606061,0.600961538461538,0.54746835443038,0.51373182552504,0.532110091743119,0.558359621451104,0.535598705501618,0.601941747572815,0.539432176656151,0.517295597484277,0.5344,0.630030959752322,0.612341772151899,0.616822429906542,0.600638977635783,0.605546995377504,0.594637223974763,0.533541341653666,0.544025157232704,0.533026113671275,0.586816720257235,0.621875,0.6734375,0.6120826709062,0.605590062111801,0.550387596899225,0.532407407407407,0.600308641975309,0.542056074766355,0.610305958132045,0.531055900621118,0.535060975609756,0.528682170542636,0.536661466458658,0.60708782742681,0.551282051282051,0.60741885625966,0.556982343499197,0.889751552795031,0.533742331288344,0.502318392581144,0.606012658227848,0.543887147335423,0.226415094339623,0.623052959501558,0,0.446740858505564,0,0.17425431711146,0,0.228748068006182,0,0.542452830188679,0.544871794871795,0.551446945337621,0.523659305993691,0,0,0,0,0,0,0,0,0.695718654434251,0.828885400313972,0.338957055214724,0.00149925037481259,0,0,0,0,0,0.209375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998456790123457,0,0.611963190184049,0.996840442338073,0,0,0,0,0.54559748427673,0.390127388535032,0,0,0.138095238095238,0.141732283464567,0.139183055975794,0.603744149765991,0.0499219968798752,0,0.606531881804043,0,0,0.510903426791277,0,0.220657276995305,0,0.0534591194968553,0,0,0,0.0525502318392581,0,0,0,0,0,0,0,0,0,0,0.549679487179487,0,0,0,0.532182103610675,0.0606060606060606,0,0,0,0,0,0,0.596850393700787,0.992211838006231,0,0,0,0,0,0,0,0,0.529141104294479,0,0,0,0,0,0.231950844854071,0,0,0,0,0,0,0,0,0,0,0.597200622083981,0,0.519543973941368,0.998447204968944,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0143769968051118,0.00772797527047913,0.0111464968152866,0.0108695652173913,0.0111111111111111,0.00934579439252336,0.0111642743221691
"8",0,0,0,0,0,0,0.998422712933754,1,0.593798449612403,0.720967741935484,0.0261941448382126,0.0159489633173844,0,0,0,0,0,0,0.660990712074303,0.581143740340031,0.650641025641026,0.586429725363489,0,0,0,0,0,0.465189873417722,0.61214953271028,0.681020733652313,0.55521472392638,0.985714285714286,0.564945226917058,0.622083981337481,0,0,0,0,0,0.201612903225806,0,0,0.558252427184466,0.00319488817891374,0.667701863354037,0.654281098546042,0.984202211690363,0.715821812596006,0.675409836065574,0.65625,0.576985413290113,0.557661927330174,0.585365853658537,0.6515625,0.661341853035144,0.569400630914827,0.564742589703588,0.564102564102564,0.653605015673981,0.658423493044822,0.662337662337662,0.5856,0.554649265905383,0.576138147566719,0.592356687898089,0.570032573289902,0.661835748792271,0.572357723577236,0.5584,0.57328990228013,0.660771704180064,0.650316455696203,0.661904761904762,0.65814696485623,0.649038461538462,0.658692185007974,0.574568288854003,0.591054313099042,0.571648690292758,0.64297520661157,0.674193548387097,0.716108452950558,0.657980456026059,0.658653846153846,0.576985413290113,0.568503937007874,0.655448717948718,0.576923076923077,0.660130718954248,0.567043618739903,0.571875,0.566929133858268,0.571428571428571,0.654028436018957,0.584967320261438,0.648089171974522,0.585123966942149,0.888357256778309,0.566302652106084,0.53343949044586,0.6645056726094,0.582539682539683,0.242088607594937,0.681020733652313,0,0.4912,0,0.199052132701422,0,0.222575516693164,0,0.575206611570248,0.584967320261438,0.588524590163934,0.567479674796748,0,0,0,0,0,0,0,0,0.744976816074189,0.8144,0.361111111111111,0.0030441400304414,0,0,0,0,0,0.229199372056515,0,0,0,0.998425196850394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.670886075949367,1,0,0,0,0,0.578274760383387,0.361842105263158,0,0,0.157723577235772,0.166394779771615,0.163076923076923,0.66403785488959,0.0658105939004815,0,0.665605095541401,0,0.00158227848101266,0.550473186119874,0,0.246422893481717,0,0.0632911392405063,0,0,0,0.0660377358490566,0,0,0,0,0,0,0,0,0,0,0.590243902439024,0,0,0,0.57097288676236,0.0619902120717781,0,0,0,0,0,0,0.652665589660743,0.982704402515723,0,0,0,0,0,0,0,0,0.569182389937107,0,0,0,0,0,0.253918495297806,0,0,0,0,0,0,0,0,0,0,0.654281098546042,0,0.56198347107438,0.990491283676704,0.998417721518987,0,0,0,0,0,0,0,0,0,0,0,0,0.0129659643435981,0.00956937799043062,0.0112359550561798,0.0139968895800933,0.012779552715655,0.0110410094637224,0.0146818923327896
"9",0,0,0,0,0,0,0.549698795180723,0.593798449612403,1,0.84375,0.00291120815138282,0.0653495440729483,0,0,0,0,0,0,0.913235294117647,1,0.796296296296296,0.996870109546166,0,0,0,0,0,0.64,0.684210526315789,0.918711656441718,0.989505247376312,0.579666160849772,1,0.87221396731055,0,0,0,0,0,0.0108695652173913,0,0,0.981510015408321,0.0432098765432099,0.911144578313253,1,0.587443946188341,0.853157121879589,0.905426356589147,0.922960725075529,1,1,1,0.925076452599388,0.914542728635682,1,1,1,0.924357034795764,0.910979228486647,0.92,1,1,1,1,0.996850393700787,0.912037037037037,1,1,1,0.902140672782875,0.911450381679389,0.91238670694864,0.898461538461538,0.904545454545455,0.925190839694657,1,1,1,0.926605504587156,0.916537867078825,0.851681957186544,0.91820987654321,0.923664122137405,1,1,0.926940639269406,1,0.905808477237049,1,1,1,1,0.908256880733945,1,0.907046476761619,1,0.66012084592145,0.998484848484849,1,0.909090909090909,1,0.504531722054381,0.8,0,0.719939117199391,0,0.449319213313162,0,0.322239031770045,0,1,0.998449612403101,1,1,0,0,0,0,0,0,0,0,0.839046199701937,0.756880733944954,0.240713224368499,0,0,0,0,0,0,0.453055141579732,0,0,0,0.537177541729894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602134146341463,0,0.923308270676692,0.611963190184049,0,0,0,0,0.995461422087746,0.185185185185185,0,0,0.316279069767442,0.330815709969789,0.350439882697947,0.930197268588771,0.265745007680492,0,0.919330289193303,0,0.00151975683890578,0.983231707317073,0,0.415525114155251,0,0.212765957446809,0,0,0,0.158054711246201,0,0,0,0,0,0,0,0,0,0,0.990740740740741,0,0,0,1,0.249609984399376,0,0,0,0,0,0,0.916279069767442,0.586989409984871,0,0,0,0,0,0,0,0,1,0,0.0166919575113809,0,0,0,0.523031203566122,0,0,0,0,0,0,0,0,0,0,0.92824427480916,0,0.987421383647799,0.571212121212121,0.540581929555896,0,0,0,0,0,0,0,0,0,0,0,0,0.0558139534883721,0.0503048780487805,0.0341614906832298,0.0435435435435435,0.0471841704718417,0.0483383685800604,0.0588235294117647
"10",0,0,0,0,0,0,0.677830940988836,0.720967741935484,0.84375,1,0.0169491525423729,0.0287081339712919,0,0,0,0,0,0,0.941823899371069,0.832298136645963,0.912337662337662,0.827868852459016,0,0,0,0,0,0.685714285714286,0.804992199687988,0.888349514563107,0.808477237048666,0.716772151898734,0.821656050955414,0.889751552795031,0,0,0,0,0,0.112721417069243,0,0,0.813614262560778,0.00803858520900321,0.920886075949367,0.962418300653595,0.728571428571429,1,0.929276315789474,0.918495297805643,0.824877250409165,0.817749603803486,0.8416,0.920127795527157,0.9168,0.825471698113208,0.815217391304348,0.817014446227929,0.923930269413629,0.933229813664596,0.923824959481361,0.838969404186795,0.814569536423841,0.825816485225505,0.8368,0.828665568369028,0.923577235772358,0.834154351395731,0.827751196172249,0.816720257234727,0.937996820349762,0.930047694753577,0.9344,0.928687196110211,0.924050632911392,0.927184466019418,0.828298887122417,0.821428571428571,0.8336,0.929508196721311,0.925925925925926,0.995192307692308,0.933764135702746,0.919354838709677,0.817307692307692,0.836833602584814,0.920840064620355,0.8208,0.936688311688312,0.816091954022989,0.824261275272162,0.826984126984127,0.829508196721311,0.930379746835443,0.834697217675941,0.925632911392405,0.824013157894737,0.6832,0.816745655608215,0.78513731825525,0.920454545454545,0.831715210355987,0.4224,0.901929260450161,0,0.70906200317965,0,0.375394321766562,0,0.343949044585987,0,0.825657894736842,0.821543408360129,0.818923327895595,0.834146341463415,0,0,0,0,0,0,0,0,0.979813664596273,0.572337042925278,0.272868217054264,0.0015220700152207,0,0,0,0,0,0.358730158730159,0,0,0,0.676282051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733118971061093,0,0.92845786963434,0.720779220779221,0,0,0,0,0.822115384615385,0.211382113821138,0,0,0.270664505672609,0.260726072607261,0.298761609907121,0.918962722852512,0.121753246753247,0,0.925396825396825,0,0.00160513643659711,0.8125,0,0.414516129032258,0,0.130225080385852,0,0,0,0.12540192926045,0,0,0,0,0,0,0,0,0,0,0.829508196721311,0,0,0,0.818327974276527,0.0966666666666667,0,0,0,0,0,0,0.927066450567261,0.735247208931419,0,0,0,0,0,0,0,0,0.827044025157233,0,0.00786163522012579,0,0,0,0.416798732171157,0,0,0,0,0,0,0,0,0,0,0.919484702093398,0,0.821487603305785,0.72,0.673566878980892,0,0,0,0,0,0,0,0,0,0,0,0,0.0228758169934641,0.0172955974842767,0.0147783251231527,0.0191693290734824,0.0213114754098361,0.0222222222222222,0.0276422764227642
