Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0051020~GTPase binding	13	4.436860068259386	1.352013928939737E-7	FGD2, FMNL2, MAP2K1, DOCK9, DOCK8, ABCA1, CHM, EPOR, ERC1, FGD3, ALS2CL, FGD4, CDC42BPB	205	109	12983	7.553322891027075	6.48945672159229E-5	6.48945672159229E-5	1.9357771312566996E-4
GOTERM_MF_FAT	GO:0031267~small GTPase binding	12	4.09556313993174	5.090397821184622E-7	FGD2, FMNL2, MAP2K1, DOCK9, CHM, EPOR, ABCA1, ERC1, FGD3, ALS2CL, CDC42BPB, FGD4	205	101	12983	7.524559285196813	2.443093092181492E-4	1.2216211640048158E-4	7.288276365202684E-4
SP_PIR_KEYWORDS	phosphoprotein	151	51.5358361774744	1.2994536933012147E-6	CTTNBP2NL, TGOLN2, SEPT4, RBM15B, PPP2R5D, LUZP1, ACSS2, SIDT2, SHKBP1, AGTR1, KIAA1462, PDE4A, B3GALNT1, STARD8, C15ORF52, SLC4A2, FAM53B, SPRED1, PID1, DBNL, DAB2IP, PTPRM, STK25, C6ORF47, DTX3L, PTPRR, TMSB10, FAM104A, TNS3, PITPNM2, TRIM35, EIF2S2, PGM1, FAM38A, ERC1, CAMTA1, SIPA1, NINJ2, ABCA1, PYDC1, RIMS3, RASAL2, TAL1, TUBB, KIAA1486, GMIP, FCER1G, AXIN2, FCHO2, C11ORF57, FGD3, HIP1, FGD4, CSF1R, ARHGDIB, MAP2K1, KLF13, SLC6A12, DOCK9, TRIO, SKI, OXSR1, PMF1, DOCK8, FURIN, SHANK3, TBC1D25, NMT2, CORO1C, BFAR, ZFHX4, HSPA12B, PLCG1, KCNJ8, DCP1A, NOTCH4, ATF7, BTBD12, CDC42BPB, ACVRL1, ARID4A, HP1BP3, FERMT3, PPARG, SYNJ1, FES, HEY1, HLX, WWC3, ATG2A, ZFPL1, QKI, CABLES1, TMEM104, NOL6, FMNL2, KIAA1949, C1ORF144, CCDC88A, SIGLEC11, DAPK2, PRKD1, STOM, PRKCQ, ZDHHC17, CCND1, DGAT1, CCND3, PSEN1, DOK6, MAPRE2, CYTSA, UBAP2, PTAFR, CLN6, SRGAP2, SNX15, SLC39A10, GPR64, TNFRSF8, COMT, FAM117B, N4BP1, KIAA0406, DHCR7, CHM, SELPLG, TXNIP, DNM3, LRSAM1, LRRC40, RRP15, AXL, AFF3, TNP1, AFF2, GYG1, ITPR3, TRIM21, PPP1R9B, C3ORF58, SP2, ATP6V1E1, TMEM164, GRLF1, DENND4A, EPOR, ALOX5, CRK, DUSP7, RBM17	293	7263	19235	1.3648517263854056	4.131411766297166E-4	4.131411766297166E-4	0.0017518712477904153
GOTERM_MF_FAT	GO:0005083~small GTPase regulator activity	18	6.143344709897611	1.5081488104333756E-6	FGD2, ABR, SIPA1, DOCK9, TRIO, TBC1D25, RASAL2, SMAP1, GMIP, GRLF1, CHM, EPOR, ERC1, FGD3, ALS2CL, FGD4, CDC42BPB, ARHGDIB	205	274	12983	4.160477123019405	7.236500138141366E-4	2.4127488015734944E-4	0.0021593071089953675
GOTERM_MF_FAT	GO:0030695~GTPase regulator activity	22	7.508532423208192	1.535562854620968E-6	FGD2, DAB2IP, ABR, SIPA1, DOCK9, TRIO, DOCK8, TBC1D25, RASAL2, SMAP1, GMIP, STARD8, GRLF1, CHM, EPOR, ERC1, FGD3, ALS2CL, ARHGDIB, SRGAP2, CDC42BPB, FGD4	205	404	12983	3.448756339048539	7.367991662319273E-4	1.8425070778826935E-4	0.0021985570390792297
GOTERM_MF_FAT	GO:0060589~nucleoside-triphosphatase regulator activity	22	7.508532423208192	2.1853532622886052E-6	FGD2, DAB2IP, ABR, SIPA1, DOCK9, TRIO, DOCK8, TBC1D25, RASAL2, SMAP1, GMIP, STARD8, GRLF1, CHM, EPOR, ERC1, FGD3, ALS2CL, ARHGDIB, SRGAP2, CDC42BPB, FGD4	205	413	12983	3.373601842555956	0.0010484207346045382	2.0977213716011356E-4	0.00312888723125182
GOTERM_MF_FAT	GO:0019899~enzyme binding	25	8.532423208191126	2.4108723271316308E-6	FGD2, CAV3, ABCA1, TAL1, CHM, AXIN2, FGD3, ALS2CL, FGD4, FMNL2, CCDC88A, ADAM10, MAP2K1, PTPRR, DOCK9, SKI, DOCK8, FURIN, PPP1R9B, CCND1, CCND3, SP2, EPOR, ERC1, CDC42BPB	205	523	12983	3.0273282656344724	0.0011565507909822026	1.92851420434903E-4	0.0034517697632630018
SP_PIR_KEYWORDS	GTPase activation	13	4.436860068259386	5.855279401361299E-6	DAB2IP, ABR, SIPA1, TBC1D25, RASAL2, SMAP1, GMIP, STARD8, GRLF1, CHM, ALS2CL, SRGAP2, ARHGDIB	293	159	19235	5.367484491381717	0.0018602518834920367	9.30558911690027E-4	0.007893627945421144
INTERPRO	IPR001849:Pleckstrin homology	16	5.460750853242321	2.1940147134083895E-5	FGD2, DNM3, DAB2IP, ABR, FERMT3, DOCK9, TRIO, PRKD1, RASAL2, PLCG1, FAM109A, DOK6, RTKN2, FGD3, FGD4, CDC42BPB	253	277	16659	3.803370385696551	0.011344165813279128	0.011344165813279128	0.03176422281964131
SMART	SM00233:PH	16	5.460750853242321	1.6149450363966554E-4	FGD2, DNM3, DAB2IP, ABR, FERMT3, DOCK9, TRIO, PRKD1, RASAL2, PLCG1, FAM109A, DOK6, RTKN2, FGD3, FGD4, CDC42BPB	167	277	9079	3.140232171036988	0.022199432833288624	0.022199432833288624	0.19014223179685263
