Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005768~endosome	13	6.878306878	8.72E-05	"STX6, RILP, RAB11FIP3, RAB5B, BACE1, RAB14, CD300LG, SORT1, GGA2, M6PR, EHD2, TLR7, HLA-DMA"	131	315	12782	4.026802375	0.02140416	0.02140416	0.113131245
GOTERM_BP_FAT	GO:0007264~small GTPase mediated signal transduction	13	6.878306878	1.01E-04	"RAB5B, GRAP, GRB2, YWHAB, MAPKAPK3, RAB31, KRIT1, RAPGEF6, RHOBTB2, RAB14, RHOA, RALA, SHC3"	145	305	13528	3.976574336	0.144573753	0.144573753	0.168776376
GOTERM_BP_FAT	GO:0007242~intracellular signaling cascade	29	15.34391534	1.25E-04	"GRAP, RAB5B, ADORA2A, GRB2, EFNA1, MAPKAPK3, TLR7, STAC, CNR1, RHOBTB2, RAPGEF6, RHOA, RALA, SH2B3, NOS2, SHC3, TNIK, ARHGEF6, SPSB3, YWHAB, ARID1A, SPAG9, RAB31, P2RX7, KRIT1, WSB2, RAB14, PIAS1, SLC9A1"	145	1256	13528	2.154140127	0.175762094	0.09212451	0.208876923
GOTERM_BP_FAT	GO:0007265~Ras protein signal transduction	8	4.232804233	1.28E-04	"GRAP, GRB2, YWHAB, RHOA, RAPGEF6, MAPKAPK3, RALA, SHC3"	145	105	13528	7.108308703	0.178573597	0.063467429	0.21256528
GOTERM_CC_FAT	GO:0044459~plasma membrane part	38	20.10582011	9.67E-04	"LZTS1, GYPE, ATP1B3, RAB5B, ADORA2A, PKHD1, EFNA1, RDX, AQP1, KCNJ11, APBB1IP, HLA-DMA, GPR4, IL17RA, ITGAM, PDE6A, KCNQ5, SDPR, CNR1, PVRL2, RHOA, RALA, EHD2, RAMP3, GIT1, PHACTR1, MPP3, M6PR, KCTD7, RAB31, P2RX7, BACE1, RAB14, SORT1, VAMP3, LCP1, ITGA2B, SLC9A1"	131	2203	12782	1.683048445	0.213275903	0.113025312	1.247118923
SP_PIR_KEYWORDS	endosome	9	4.761904762	0.00106739	"RILP, RAB11FIP3, RAB5B, BACE1, CD300LG, SORT1, GGA2, EHD2, HLA-DMA"	189	209	19235	4.382547277	0.229397253	0.229397253	1.372572253
GOTERM_BP_FAT	GO:0015031~protein transport	19	10.05291005	0.001214192	"STX6, RAMP3, RILP, RANBP17, RAB5B, ACTN4, YWHAB, HLA-DMA, TGFB2, RAB31, RAB11FIP3, AP3M1, ATG7, RANBP3, RAB14, SORT1, PPP3CA, GGA2, SNX10"	145	762	13528	2.326291972	0.846215975	0.373778743	2.004863184
GOTERM_CC_FAT	GO:0031982~vesicle	17	8.994708995	0.001247049	"STX6, RILP, PRF1, RAB5B, ATP1B3, ACTN4, GRB2, YWHAB, PF4, TGFB2, MARCH1, SPAG9, BACE1, PECAM1, RAB14, SORT1, ITGA2B"	131	670	12782	2.475720633	0.266157776	0.098011711	1.605963572
GOTERM_BP_FAT	GO:0045184~establishment of protein localization	19	10.05291005	0.001345638	"STX6, RAMP3, RILP, RANBP17, RAB5B, ACTN4, YWHAB, HLA-DMA, TGFB2, RAB31, RAB11FIP3, AP3M1, ATG7, RANBP3, RAB14, SORT1, PPP3CA, GGA2, SNX10"	145	769	13528	2.305116362	0.874446631	0.339662936	2.219624793
GOTERM_BP_FAT	GO:0046907~intracellular transport	17	8.994708995	0.001681805	"STX6, RAMP3, RANBP17, CPT2, YWHAB, M6PR, TGFB2, BAK1, SLC25A20, AP3M1, RANBP3, RAB14, SORT1, PPP3CA, TRAPPC1, GGA2, FTL"	145	657	13528	2.414066026	0.925267727	0.350990034	2.766855882
