Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005768~endosome	13	6.878306878306878	8.724035081389846E-5	STX6, RILP, RAB11FIP3, RAB5B, BACE1, RAB14, CD300LG, SORT1, GGA2, M6PR, EHD2, TLR7, HLA-DMA	131	315	12782	4.026802374893978	0.021404159705227133	0.021404159705227133	0.11313124503716798
GOTERM_BP_FAT	GO:0007264~small GTPase mediated signal transduction	13	6.878306878306878	1.0132867481436413E-4	RAB5B, GRAP, GRB2, YWHAB, MAPKAPK3, RAB31, KRIT1, RAPGEF6, RHOBTB2, RAB14, RHOA, RALA, SHC3	145	305	13528	3.9765743357829284	0.1445737527972114	0.1445737527972114	0.16877637556841352
GOTERM_BP_FAT	GO:0007242~intracellular signaling cascade	29	15.343915343915343	1.254276104837885E-4	GRAP, RAB5B, ADORA2A, GRB2, EFNA1, MAPKAPK3, TLR7, STAC, CNR1, RHOBTB2, RAPGEF6, RHOA, RALA, SH2B3, NOS2, SHC3, TNIK, ARHGEF6, SPSB3, YWHAB, ARID1A, SPAG9, RAB31, P2RX7, KRIT1, WSB2, RAB14, PIAS1, SLC9A1	145	1256	13528	2.154140127388535	0.17576209438772805	0.09212450985155896	0.208876922895751
GOTERM_BP_FAT	GO:0007265~Ras protein signal transduction	8	4.232804232804233	1.276446328260193E-4	GRAP, GRB2, YWHAB, RHOA, RAPGEF6, MAPKAPK3, RALA, SHC3	145	105	13528	7.108308702791461	0.17857359704227505	0.0634674288480086	0.21256527990939356
GOTERM_CC_FAT	GO:0044459~plasma membrane part	38	20.105820105820104	9.667810238603818E-4	LZTS1, GYPE, ATP1B3, RAB5B, ADORA2A, PKHD1, EFNA1, RDX, AQP1, KCNJ11, APBB1IP, HLA-DMA, GPR4, IL17RA, ITGAM, PDE6A, KCNQ5, SDPR, CNR1, PVRL2, RHOA, RALA, EHD2, RAMP3, GIT1, PHACTR1, MPP3, M6PR, KCTD7, RAB31, P2RX7, BACE1, RAB14, SORT1, VAMP3, LCP1, ITGA2B, SLC9A1	131	2203	12782	1.6830484453884882	0.21327590265719165	0.11302531189283183	1.2471189234227742
SP_PIR_KEYWORDS	endosome	9	4.761904761904762	0.0010673901042335418	RILP, RAB11FIP3, RAB5B, BACE1, CD300LG, SORT1, GGA2, EHD2, HLA-DMA	189	209	19235	4.382547277284119	0.22939725270676303	0.22939725270676303	1.3725722531738094
GOTERM_BP_FAT	GO:0015031~protein transport	19	10.052910052910052	0.001214191602180584	STX6, RAMP3, RILP, RANBP17, RAB5B, ACTN4, YWHAB, HLA-DMA, TGFB2, RAB31, RAB11FIP3, AP3M1, ATG7, RANBP3, RAB14, SORT1, PPP3CA, GGA2, SNX10	145	762	13528	2.3262919721241744	0.8462159752467993	0.3737787428436571	2.0048631841333875
GOTERM_CC_FAT	GO:0031982~vesicle	17	8.994708994708994	0.0012470493156847304	STX6, RILP, PRF1, RAB5B, ATP1B3, ACTN4, GRB2, YWHAB, PF4, TGFB2, MARCH1, SPAG9, BACE1, PECAM1, RAB14, SORT1, ITGA2B	131	670	12782	2.475720633473852	0.2661577759802425	0.09801171100083172	1.6059635724306576
GOTERM_BP_FAT	GO:0045184~establishment of protein localization	19	10.052910052910052	0.001345637850064728	STX6, RAMP3, RILP, RANBP17, RAB5B, ACTN4, YWHAB, HLA-DMA, TGFB2, RAB31, RAB11FIP3, AP3M1, ATG7, RANBP3, RAB14, SORT1, PPP3CA, GGA2, SNX10	145	769	13528	2.3051163624949558	0.8744466305128862	0.3396629359272658	2.2196247932600888
GOTERM_BP_FAT	GO:0046907~intracellular transport	17	8.994708994708994	0.0016818049706311452	STX6, RAMP3, RANBP17, CPT2, YWHAB, M6PR, TGFB2, BAK1, SLC25A20, AP3M1, RANBP3, RAB14, SORT1, PPP3CA, TRAPPC1, GGA2, FTL	145	657	13528	2.4140660263475566	0.9252677266660215	0.3509900342256578	2.766855881798813
