1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT187987LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50074	70383	99171	226493	388761	2463218	2067925	4553781	3878910	500827	63291	58982	143105	174221	1342047	732695	79040	32381	351	1	1695415
LT166493RM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53939	71512	96945	221790	422799	3968614	2192434	5306445	4131961	481276	39368	37043	116566	145168	945932	651916	57729	20817	488	0	1381587
LT109321RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26919	46620	79127	199309	375870	4306284	2179556	5688197	4201934	591994	36292	34865	136399	156635	724843	595596	53320	22999	246	3	1009987
LT104717LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36547	55737	87781	223416	386878	3689012	2207615	6042158	4288349	799637	40277	32176	87371	95833	1001636	775325	41371	25297	181	4	517850
LT185066RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28509	45275	69976	175474	346504	3044247	2178662	5123618	4516440	815781	48100	37659	110543	110330	1238901	521124	47629	29116	225	0	475054
LT291578RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43638	64502	87537	199200	428652	2607422	2992062	5890763	3870122	655999	57559	48007	122100	145687	721863	393832	70697	25078	406	2	1076399
LT075094LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50410	80123	87403	189710	372293	2626533	2605900	5861789	4051747	674528	60450	55506	213995	256186	1658419	1241187	90198	41799	313	2	1297273
LT051568RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60749	138134	219734	216203	387958	2769776	2344664	4951598	2794492	459434	82238	59168	99350	106477	295045	154769	71193	22463	449	1	1398598
LT194990RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97080	170656	171947	303954	455271	3578181	2310885	4803784	3103793	563583	68537	51229	125863	139587	364969	207029	65850	18638	228	1	607320
LT132314LI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71673	179575	169463	277518	344297	1798438	1996394	4665949	3866339	941895	113664	81393	151855	161724	570105	343505	79199	35196	426	0	1612293
LT030041RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68401	129391	124058	243230	352482	2574292	1947533	4092630	2941002	462161	65472	53948	90682	112693	399305	257346	64467	22438	440	0	2744935
LT125775RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33042	61660	81076	206207	403601	3317963	2813801	6206667	4037920	656546	50783	47506	171949	197917	1087609	696318	78061	21049	210	0	462779
LT055745RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61183	176654	314650	231275	374671	2573682	2469647	5601804	4063651	832855	105476	106435	114454	113825	255581	148748	81440	26987	463	1	1158144
LT148286LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41260	82052	101863	210364	427321	3816126	2297442	5402611	3080243	486320	46656	37105	100935	112525	465218	342484	61904	15560	196	0	1262832
LT219681RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67591	132018	137894	245812	447321	2475551	2998733	5955302	3829322	556881	98288	66578	112099	123682	361749	165071	79105	27981	487	0	1432738
LT009615LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62531	83771	120910	249413	525987	3295028	2250271	5207235	3326467	448922	48637	41542	111255	133143	551432	517607	72542	20027	263	0	1265315
LT132625RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60839	110810	158542	250474	448329	2444592	2509956	5090022	3328085	458142	83636	68588	133374	150040	547375	376570	68267	25142	738	0	2738694
LT106997RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78834	138988	126216	215015	390565	2180905	1764804	3868902	2644746	387377	67642	43014	76185	88925	297635	170330	45581	18699	504	1	1098998
LT265199LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55750	111995	108407	228468	448556	2626534	2647985	5292251	3118395	469388	84477	61189	101096	124330	378851	240432	80772	29941	461	1	1350580
LT282467LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87999	185907	153130	227034	402788	2116253	2829296	5345226	3779118	851437	143749	92598	155563	167393	472901	244219	107564	38354	611	1	1782367
LT152979LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44335	101669	103423	165374	292208	1872778	2282060	5126021	3884482	825676	98692	73105	130507	167668	495412	409148	94377	38611	834	0	2552457
LT010491LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70667	113316	144078	327981	593265	2675096	2015352	4676098	3641366	580816	64847	48090	114447	131376	792148	432033	53333	21375	273	1	1049010
LT235584LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62543	121247	156808	331416	558444	2647914	2251666	4822103	3609122	648228	96304	66769	125670	135147	723372	397379	71400	29647	438	2	1231887
LT023631RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37056	71989	74840	140350	301936	2354720	2061681	4523338	2647030	472562	67814	41521	89663	100387	349366	220988	59099	21995	382	0	1952642
LT262496LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56877	110170	159167	351171	594561	6035532	2477086	5692131	4151962	618288	74547	53434	111384	108548	338506	243955	58152	25233	280	0	766975
LT126571RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90441	167655	195309	316777	526815	3501249	2949986	5874910	4159579	731399	88146	60962	147441	147298	324748	245360	74182	23379	314	1	1422761
LT056627RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88012	221578	206939	339368	479294	3666884	2607780	4800547	4229833	903282	125116	88817	160961	187098	443922	341948	117006	41153	612	0	2714303
LT100984RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120919	360563	213956	311131	422251	1681248	2435271	4902363	4427028	951581	226508	153959	252213	295710	644550	338434	176048	75724	707	0	1827396
LT168219RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77035	126377	187172	249808	371019	3698221	1839275	4034204	2454662	456993	78760	66765	84224	105436	261498	192467	97285	32538	1131	0	2879207
LT092669LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68669	117300	144842	300215	549805	5775312	2587097	5934617	4003263	733795	58500	44337	114118	126417	561803	484784	58548	26364	276	2	1013600
LT010012LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47384	79486	99928	210256	415680	3390154	2586101	5303069	3480377	715350	76533	61133	147857	152391	451501	330670	77952	26867	515	1	1043198
LT113077LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63269	107019	128121	272859	528477	3700020	2653366	6141431	3637366	623823	74355	52199	102069	127037	355131	228180	66277	24859	371	4	1107210
LT178307RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104549	192124	187817	349835	609722	3887678	2852319	6242325	4160037	704118	115564	81364	123482	156435	317879	227009	87130	35106	660	0	1846677
LT042988LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101780	192400	266309	319069	565499	3438119	2277404	4853017	3205973	524897	140482	129849	142052	134360	325958	236357	99454	41420	6147	3	1952866
LT003990RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97678	179691	196019	341319	612109	3779332	2518803	5927833	3737942	684652	108277	62996	117999	138735	299965	180109	69026	27002	265	4	832048
LT242420LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100284	160434	176560	305279	505205	3500531	2352288	5172359	3289459	570607	116415	93721	156122	197594	444260	332670	117490	40844	844	1	2208155
LT137431RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62663	106296	120811	295532	526923	6001368	2395853	6814247	4317989	513227	47693	42708	104786	153618	701438	583680	57694	33681	246	0	1043662
LT231373LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40518	58823	86856	209288	445586	5756726	1903049	5807930	3876157	468233	37731	35525	83515	114170	705401	798047	52574	27919	1313	3	1948606
LT046027RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69172	125077	150906	307707	562351	3674414	2311861	5726311	3810477	576130	67900	53946	93055	119668	300564	177912	64478	21494	371	2	1553368
