1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT187987LL	5344	4584	8668	25201	88470	85586	386648	253470	144969	95753	47345	79297	44809	56914	86897	98055	131083	259118	434933	2598484	2222657	4737188	4608049	619825	118943	155728	196639	251438	1451314	817990	171520	46892	1658	11	2768694
LT166493RM	2204	2013	4990	15163	51012	57490	326487	169540	131508	95348	57691	109930	62225	64658	93868	96160	125691	245746	455939	4096571	2353728	5487216	4857838	593983	85188	99054	154594	197157	1028770	723724	140488	31852	1858	2	2250775
LT109321RL	1311	874	1240	2211	3931	11148	57417	22915	23975	14790	19278	16469	17101	22386	48452	66125	102728	222554	409741	4401503	2315427	5860297	5049726	733934	116371	181464	229645	270483	899680	703732	243200	39800	2144	13	1848556
LT104717LL	1905	1687	3821	8993	21138	40720	248241	107411	77039	36986	24547	35654	27504	32810	57096	72635	108904	242752	414954	3767925	2325443	6159454	4712853	915524	93991	127194	137618	151095	1052096	801829	68713	38850	1606	27	927923
LT185066RL	4835	3511	13177	97814	273676	168331	650405	364335	179778	108927	48862	72241	28978	39661	48536	59744	91061	198931	379889	3116115	2278343	5233846	4814501	925120	104783	119537	153591	162524	1280054	551714	78426	46514	1726	11	861430
LT291578RU	4121	3001	13693	67121	176241	144534	597473	430061	217771	143857	62157	103300	52366	55206	81175	86560	115166	223775	464918	2717692	3122358	6046064	4719033	757048	93563	119464	154579	206886	827416	483696	145470	36847	1279	11	1810918
LT075094LU	2856	2675	8412	33708	97183	72393	335853	171707	116351	59480	39667	98254	63579	66062	88811	101666	112405	215300	397304	2693998	2708206	5980546	4469347	782898	94395	98635	240210	300744	1710973	1277376	123395	51862	983	4	1981532
LT051568RU	4849	3858	12605	39349	67315	134650	486267	177619	93163	34104	26545	35654	36594	96254	96348	156860	243017	254989	417383	2843246	2447456	5174122	3611863	584751	128958	130890	142859	166089	404730	223226	160331	29705	1288	5	2406251
LT194990RU	2425	1922	8559	16862	36460	117412	437602	140301	76789	49589	57403	93854	98389	168020	155631	200032	207729	346808	497286	3651449	2415086	4940704	3533037	678478	116343	111930	168290	191232	422035	251941	116093	27330	1101	20	1161021
LT132314LI	4914	4282	14200	42037	98196	151104	486746	194559	123592	36280	27315	40482	44078	137970	111002	201557	199428	330801	390618	1871936	2077299	4798626	4406470	1102013	178475	197565	204809	235096	662481	409502	159862	45228	1462	2	2707034
LT030041RU	4482	3099	13522	31545	60013	147220	554721	182274	86777	43156	36250	51621	55591	119022	109990	154605	153466	280206	397659	2688407	2036629	4382843	4259907	580119	122046	148918	156356	234117	575750	380367	278418	31742	1260	4	4592301
LT125775RL	1213	1113	2204	5206	7005	26191	71549	24295	22360	11207	14453	14144	18814	31578	56701	78067	100471	230956	431915	3384325	2916822	6337520	4574272	781573	98402	116802	215275	254886	1156832	752370	143117	29607	853	0	880811
LT055745RU	5588	3077	10775	48323	69674	77023	173705	59569	36340	16784	16930	27311	31518	99617	92629	196807	338098	274816	407232	2642144	2573345	5809745	4912475	990506	180610	240111	167315	200446	357925	233801	187945	34645	1005	3	2173402
