0	1	2	3
LT187987LL	14840357	3780715	0	0
LT166493RM	16287349	4056980	0	0
LT109321RL	16724888	3742107	0	0
LT104717LL	16640776	3793675	0	0
LT185066RL	16379146	2584021	0	0
LT291578RU	16578440	2923087	0	0
LT075094LU	18590577	2925187	0	0
LT051568RU	13006775	3625718	0	0
LT194990RU	14620843	2587542	0	0
LT132314LI	14354150	3106751	0	0
LT030041RU	12402238	4344668	0	0
LT125775RL	17613880	3018784	0	0
LT055745RU	15510926	3300700	0	0
LT148286LL	14724258	3666759	0	0
LT219681RL	15640279	3673924	0	0
LT009615LU	14631937	3700361	0	0
LT132625RU	14396953	4655262	0	0
LT106997RU	10222383	3481483	0	0
LT265199LU	14051687	3508172	0	0
LT282467LL	15905528	3277980	0	0
LT152979LL	14416421	4342416	0	0
LT010491LL	14473834	3071134	0	0
LT235584LU	15050705	3036801	0	0
LT023631RU	11890004	3699355	0	0
LT262496LU	17707941	4320018	0	0
LT126571RU	17656359	3392353	0	0
LT056627RU	17406189	4358264	0	0
LT100984RL	16665067	3152493	0	0
LT168219RL	12894212	4399865	0	0
LT092669LU	19156430	3547234	0	0
LT010012LU	15613226	3083177	0	0
LT113077LL	15737593	4255850	0	0
LT178307RU	18390488	3891342	0	0
LT042988LU	15187299	3766116	0	0
LT003990RU	16512245	3399559	0	0
LT242420LU	15795290	4045832	0	0
LT137431RL	19697103	4227012	0	0
LT231373LU	17876751	4581219	0	0
LT046027RL	15286950	4480214	0	0
LT211728RU	14777036	3789456	0	0
LT157253RL	13301370	3807660	0	0
LT024952RU	18394262	4136471	0	0
LT058156LU	20993160	3044664	0	0
LT145086RU	13050720	3599969	0	0
LT294945LU	18264317	4362406	0	0
LT046027RL_HiSeq	41133493	10439351	0	0
LT211728RU_HiSeq	34419860	8328156	0	0
LT157253RL_HiSeq	34691429	9678892	0	0
LT024952RU_HiSeq	46568355	10343276	0	0
LT185066RL_HiSeq	43354025	9064539	0	0
LT291578RU_HiSeq	35208803	12126713	0	0
LT201348LL	6012476	798316	0	0
LT135390LL	3363283	550470	0	0
LT045346RU	4230740	819478	0	0
LT163513RL	6836171	1041483	0	0
LT109097LL	3556848	515452	0	0
LT155982RU	4775516	783935	0	0
LT131432RU	5131675	744991	0	0
LT059975LU	5233943	905728	0	0
LT156171LL	3791253	594863	0	0
LT001600RL	3275321	546329	0	0
LT245084RU	4799915	737605	0	0
LT275526RU	3061710	475379	0	0
LT175399RU	3706058	548002	0	0
LT173946RL	4031773	603035	0	0
LT156481LL	5659506	904469	0	0
LT130350RU	3800585	587057	0	0
LT038591LU	2161038	329852	0	0
LT093297LU	4850975	688530	0	0
LT105618RL	4206488	621088	0	0
LT025997RU	1717378	339435	0	0
LT046539RL	3974875	638620	0	0
LT286056RU	4811226	813243	0	0
LT020426LU	6910835	1116393	0	0
LT195011RL	3751620	681262	0	0
LT002501RL	5680363	914174	0	0
LT081077RU	3479506	580319	0	0
LT000216LL	4334560	618392	0	0
LT004173LL	4351565	792050	0	0
LT139649RU	3931684	682519	0	0
LT081282RM	4416451	701758	0	0
LT084406RU	5292760	831374	0	0
LT192758RU	2908279	445513	0	0
LT287158LU	4107629	622893	0	0
LT241811LL	5056143	803507	0	0
LT233620RU	4837553	807596	0	0
LT140046RU	4946686	847851	0	0
LT236045LL	4971260	802087	0	0
LT056301LL	4441081	682511	0	0
LT280560LU	4982541	845981	0	0
LT207073RU	3699825	612119	0	0
LT191020LI	9589448	1357561	0	0
LT030662LL	9295076	1511464	0	0
LT009099RL	11118846	1668933	0	0
LT075917RU	33549	4275	0	0
LT147610LL	4877585	608200	0	0
LT195484RU	8932	5683	0	0
LT089723LL	8626365	1300795	0	0
LT082461RL	4450770	630049	0	0
LT151920RL	7744021	1208895	0	0
LT203431RL	4588118	792169	0	0
LT115840LL	3053008	499549	0	0
LT005256RL	2380742	326327	0	0
LT279828RU	2843156	390238	0	0
LT162479RU	4071866	655410	0	0
LT244399LU	2810530	390233	0	0
LT051993RU	2514900	430859	0	0
LT191675RL	2117687	279775	0	0
LT266817LL	1900396	257665	0	0
LT198741LU	2382539	354196	0	0
LT115251RU	3664731	529385	0	0
LT245983LU	9333403	1572153	0	0
LT269763RL	11941975	2134480	0	0
LT263636RU	6657759	1081601	0	0
LT238531RU	9805081	1539874	0	0
LT155318RL	8519085	1298624	0	0
LT058319LU	203735	41813	0	0
LT143944LL	636793	119719	0	0
LT185970RL	1472045	264137	0	0
LT126767LL	3894864	873521	0	0
LT013011LU	7784506	1318530	0	0
LT113005RU	5903799	826701	0	0
LT181845RU	3526670	571302	0	0
LT166240RM	12012650	1516693	0	0
LT099879RL	5694709	786237	0	0
LT017495RL	7829573	1352353	0	0
LT231101RL	6065391	967609	0	0
LT178929RL	4859787	724490	0	0
LT038075LL	4522120	748154	0	0
LT080750LL	4107623	667497	0	0
LT221510LU	5246759	1398843	0	0
LT002410RM	4339263	785740	0	0
LT175949LL	3390881	679192	0	0
LT190870RU	3564101	694574	0	0
LT150340LU	3468162	696431	0	0
LT121928RL	2634036	548917	0	0
LT060406RL	2588564	495510	0	0
LT077264RU	4176450	760062	0	0
LT136415RU	3516007	793060	0	0
LT026534RL	4047344	745529	0	0
LT282562RM	3999980	755549	0	0
LT286300LU	4286281	784038	0	0
LT284144LU	3181580	644662	0	0
LT055841LL	4401678	782983	0	0
LT053283RU	4134041	804477	0	0
LT142159RU	3432556	542922	0	0
LT154455RU	3606927	679626	0	0
LT167891LU	3539886	676250	0	0
LT043343LU	4165992	680440	0	0
LT048637LL	3223914	722170	0	0
LT166565RU	3644115	875009	0	0
LT127070RL	5123593	908088	0	0
LT184347RU	3024470	511673	0	0
LT253677RL	5270697	956253	0	0
LT036383LL	5207328	935087	0	0
LT295133LL	4550993	802727	0	0
LT106561LL	6363319	1090019	0	0
LT256221LL	4888135	799650	0	0
LT172093RL	2476786	435617	0	0
LT180102RL	5735364	977210	0	0
LT196199RU	6049976	1086730	0	0
LT000379LU	7210164	1124628	0	0
LT058691LU	2711408	507372	0	0
LT130546RU	5233274	1038532	0	0
LT206871LU	3744106	616537	0	0
LT096430LU	1200345	211408	0	0
LT144462RU	6437538	1190614	0	0
LT047152LL	9493432	1708501	0	0
LT109231RU	5642942	976655	0	0
LT173597LL	5269633	926764	0	0
LT285906LL	2277819	386855	0	0
LT075462RU	6013951	920191	0	0
LT016556LU	4436897	690638	0	0
LT171097RL	4893629	788899	0	0
LT297451LU	4329503	679835	0	0
LT120371LL	5845352	886976	0	0
LT076421LL	4052234	640574	0	0
LT285671LU	5083152	726679	0	0
LT076617LL	4063878	632611	0	0
LT236519LL	3746511	590685	0	0
LT012861RU	5049719	738797	0	0
LT196309RL	5122799	689829	0	0
LT006946RM	4309442	732274	0	0
LT007392RU	5667132	969230	0	0
LT005419RU	4508234	701198	0	0
LT206010LU	5062278	833211	0	0
LT078347LL	3940696	581651	0	0
LT213352LU	5180894	817860	0	0
LT277811RL	3524156	535743	0	0
LT071706RL	6295864	1062283	0	0
LT141224LL	5026128	776293	0	0
LT248906LL	4531537	846039	0	0
LT197511LU	4946086	859340	0	0
LT242161RL	5213180	909901	0	0
LT106519RL	6254578	1135295	0	0
LT0249481LU	1845321	303804	0	0
LT150981RU	3383669	567789	0	0
LT180758RM	5227777	835940	0	0
LT076181LI	6512951	980160	0	0
LT062121LL	3864994	605930	0	0
LT037710RU	3179976	534427	0	0
LT246994RU	4205183	735670	0	0
LT165114RU	5839490	976878	0	0
LT288719RL	6308391	1126310	0	0
LT280646RU	1597905	265642	0	0
LT012933RL	5612282	948085	0	0
LT176510LU	1217539	203845	0	0
LT032411RU	4564448	668849	0	0
LT087826LL	5700528	1129909	0	0
LT118064RL	3508243	650511	0	0
LT125521LL	4150140	706232	0	0
LT062141RL	1235889	218284	0	0
LT030151RU	1256563	200170	0	0
LT119682RL	1435565	265148	0	0
LT273284LL	1032251	163839	0	0
LT233821RL	1218342	195690	0	0
LT017811RM	945224	171876	0	0
LT108067RU	1372684	223883	0	0
LT089958RL	974184	163272	0	0
LT259072LU	940918	162789	0	0
LT166111RU	4841002	806865	0	0
LT139691RU	7251455	1225562	0	0
LT096554LU	3169209	573019	0	0
LT017275LL	6334541	968778	0	0
LT079487LL	6035750	970937	0	0
LT142933RU	5762288	1102132	0	0
LT024857LU	5591380	925696	0	0
LT222755RL	5316940	1011003	0	0
LT072789RU	4190033	741784	0	0
LT197381LI	3146091	538380	0	0
LT262371RM	5610572	1066928	0	0
LT264283RL	8614520	1421260	0	0
LT190004RU	4251744	693445	0	0
LT045399RL	5731648	948972	0	0
LT177521RU	3067656	540646	0	0
LT158795LL	6698191	1408778	0	0
LT083759RL	10482409	1859457	0	0
LT280851LL	4958051	842579	0	0
LT235441RL	7158391	1177893	0	0
LT169564RU	4893342	793854	0	0
LT126293RU	5481415	977106	0	0
LT084808LU	7452686	1161106	0	0
LT191618LU	5321156	862329	0	0
LT157856LU	7229900	1281024	0	0
LT055396LU	6675171	1077116	0	0
LT205707LL	6764289	1083846	0	0
LT028264RL	4638372	694895	0	0
LT157177RU	5349797	942698	0	0
LT059224RL	5706966	951661	0	0
LT223106RU	4765396	765392	0	0
LT251693LL	7242522	1197150	0	0
LT197821RL	6425018	1325192	0	0
LT277036RU	4205839	844863	0	0
LT130603LL	1077603	214821	0	0
LT013743LL	5740485	1125551	0	0
LT243794RL	4337053	895710	0	0
LT184772RL	4537160	892457	0	0
LT91552LL	5838609	1150098	0	0
LT122336LU	6428434	1199265	0	0
LT220968RU	7457019	1431139	0	0
LT141870LU	2680631	527354	0	0
LT069585RL	1799394	346970	0	0
LT168204LL	5260689	1051455	0	0
LT028044RU	5486076	1091135	0	0
LT077800RU	4189269	805771	0	0
LT123313RM	3728247	742346	0	0
LT296771LL	4485471	888616	0	0
LT234205RL	6843326	1362616	0	0
LT066309LL	3630522	766498	0	0
LT111643RU	2425265	491164	0	0
LT184901RU	1436471	294278	0	0
LT072387LU	6447411	1112035	0	0
LT258372RL	6326859	1194419	0	0
LT230415RU	3528776	618918	0	0
LT203446LL	5671669	1030088	0	0
LT044225RL	6418832	1078895	0	0
LT253371RL	10181155	1692899	0	0
LT095342LU	6946749	1530894	0	0
LT067200LU	4446826	801935	0	0
LT041389RL	2359712	436310	0	0
LT121014LL	4883259	864684	0	0
LT213735RU	5229873	894934	0	0
LT024967LU	6418539	1191158	0	0
LT271100LU	5559379	1009585	0	0
LT021461RM	4057381	684411	0	0
LT063974LL	6589057	1197599	0	0
LT286644RL	6506436	1110638	0	0
LT056024RL	8045028	1521308	0	0
LT102131RL	2515271	529693	0	0
LT028427LU	5615110	944064	0	0
LT205601LL	1071501	188415	0	0
LT221782LL	3757835	597282	0	0
LT139051LU	8452333	1342341	0	0
LT131887LL	4553233	749424	0	0
LT043798LU	2416449	344602	0	0
LT100654RL	2611196	397078	0	0
LT230142RL	6396769	1006294	0	0
LT216500LU	4542287	646803	0	0
LT001098RU	4427319	614709	0	0
LT021748RL	3060488	488749	0	0
LT243058RU	5718492	916003	0	0
LT196677RU	4553564	669713	0	0
LT269381RU	3114854	460992	0	0
LT222702LL	5700498	790838	0	0
LT178967RL	3370763	485171	0	0
LT022251RL	5579561	725349	0	0
LT282601LL	3112089	420282	0	0
LT270821RU	3447448	515461	0	0
LT152653LU	2316348	331602	0	0
LT249811RU	4822912	675459	0	0
LT090666LI	2111032	319646	0	0
LT274443LU	5077199	894083	0	0
LT059721LU	3884123	648666	0	0
LT228772LL	5250233	797563	0	0
LT160089RU	1982347	346625	0	0
LT084038RM	5673287	833424	0	0
LT217339RL	3624382	585857	0	0
LT253131RU	3460160	518696	0	0
LT236557RL	3513209	554814	0	0
LT118519RL	3261078	495922	0	0
LT123131RL	3304611	500266	0	0
LT134776LL	2967718	488898	0	0
LT147658RU	3298181	509953	0	0
LT199987LU	3149762	501622	0	0
LT168094RL	3900130	635046	0	0
LT050246RU	3266499	549226	0	0
LT046103LU	2188294	313975	0	0
LT022562LL	8128552	1618862	0	0
LT112597RU	5864142	978182	0	0
LT290677RU	2656859	439392	0	0
LT264690LU	3272027	492448	0	0
LT100821RL	4468606	757832	0	0
LT184423LL	3202163	546577	0	0
LT188161LL	3476184	574216	0	0
LT148377LU	2923194	472564	0	0
LT089451RU	2144887	323331	0	0
LT070403LL	2668431	527349	0	0
LT244824RU	2552896	444440	0	0
LT158647RU	3419092	662377	0	0
LT195522RU	4397317	871488	0	0
LT111916LL	1343569	223285	0	0
LT059865RU	3896793	683080	0	0
LT265662LU	4727432	803476	0	0
LT102695LL	3393822	537702	0	0
LT083491LU	4590362	768652	0	0
LT229669RU	4046920	735869	0	0
LT234774LU	4018615	693536	0	0
LT128262RU	2102304	312651	0	0
LT107185RU	3510544	590722	0	0
LT144769RL	4092297	739103	0	0
LT019699RL	2486152	387142	0	0
LT125521LL-2	4195246	499314	0	0
LT159988RL	4922211	829563	0	0
LT119300LU	3277694	519678	0	0
LT126327LU	5316404	883403	0	0
LT228897LL	2367429	367966	0	0
LT112491RM	5779160	1050398	0	0
LT134719RU	3100479	514733	0	0
LT238765RL	1822777	315963	0	0
LT128191LL	4773376	817898	0	0
LT221983RM	2920791	457999	0	0
LT211455LU	4180102	793976	0	0
LT174536LU	1875677	314660	0	0
LT203541RU	3941399	661622	0	0
LT195192RL	3497310	605680	0	0
LT056464LL	3382791	677331	0	0
LT271679LU	2512268	423434	0	0
LT212777RU	3063508	580486	0	0
LT299181LU	4212534	671549	0	0
LT145196LU	868639	126642	0	0
LT167906LL	3671007	577768	0	0
