1	2	3	4	5	6	7	8	9	10
LT187987LL	14317737	2246218	990724	166394	106170	63825	29902	63579	612260	24263
LT166493RM	15847532	2413452	877642	131241	105841	64516	28269	92192	763720	19924
LT109321RL	16344794	2546160	887922	124541	82289	63046	21090	54472	325287	17394
LT104717LL	17384393	1987263	770143	110566	53549	34153	16796	21979	38289	17320
LT185066RL	15979554	1922969	775204	105285	51022	33302	14113	19350	46495	15873
LT291578RU	14935866	2782885	1100078	157624	86350	69030	27734	49418	266778	25764
LT075094LU	17045101	2869965	1004260	137483	83457	55963	19725	43968	231785	24057
LT051568RU	11542452	2519145	1281890	137950	134107	83920	39394	69933	778911	44791
LT194990RU	13191016	2233658	1150279	140841	101163	71760	28483	59101	191875	40209
LT132314LI	12632974	2340561	1195094	145102	147275	77748	37711	69866	763423	51147
LT030041RU	11175919	1970179	949325	114455	181937	109175	43530	118776	2050122	33488
LT125775RL	16339058	2717227	1194555	109002	68547	43391	17649	30792	94031	18412
LT055745RU	13179729	2912354	1348369	116659	189274	132658	79575	108131	681507	63370
LT148286LL	13609369	2338281	1212846	120142	115950	74887	30314	61147	805230	22851
LT219681RL	13751152	2785475	1532178	176588	120342	78620	33643	88345	693701	54159
LT009615LU	13047707	2969943	1185931	153182	143460	109132	38156	103859	548934	31994
LT132625RU	12782778	2802161	1174133	145069	126418	87393	34546	89401	1776312	34004
LT106997RU	9579393	2083049	1003737	138114	117865	79854	47628	66559	541957	45710
LT265199LU	11938860	2903084	1329897	149026	230760	194806	66374	89732	617970	39350
LT282467LL	13673083	2983616	1183442	196342	171520	125616	58956	80743	642899	67291
LT152979LL	12910903	2468603	1195516	180275	174405	151625	37255	125643	1465462	49150
LT010491LL	13093871	2670434	1081000	180512	94941	52470	32232	45765	253770	39973
LT235584LU	13638333	2437675	1153029	201132	101759	64259	34779	54557	357168	44815
LT023631RU	10859927	2171060	1023894	155799	110923	84944	27513	82437	1038200	34662
LT262496LU	18186380	2242057	1062918	186186	81386	54236	30613	44022	108459	31702
LT126571RU	16001652	2851403	1295238	225712	117266	63701	36042	62970	349344	45384
LT056627RU	16500692	2125952	912137	216173	191106	105750	36791	107146	1509864	58842
LT100984RL	14651136	2414623	1234831	267911	196018	158084	145718	166270	453685	129284
LT168219RL	11714400	1894754	930658	212519	254306	257054	65651	238454	1680773	45508
LT092669LU	18602549	2353583	1075098	185325	97479	63246	29941	63855	204368	28220
LT010012LU	14190753	2447593	1011213	167921	95467	87321	24512	87527	542761	41335
LT113077LL	14662491	2986361	1672818	234315	98606	67558	38692	53920	137959	40723
LT178307RU	16151475	3358840	1563704	254897	145494	116818	42434	149286	436616	62266
LT042988LU	13283241	3049618	1176268	252544	197885	143563	58451	324280	398138	69427
LT003990RU	14649509	2936231	1610373	299370	116888	61303	44067	55824	64111	74128
LT242420LU	14183164	2626909	1410751	253371	176383	156114	63891	131336	789853	49350
LT137431RL	19074068	2730522	1295512	164509	112942	78520	35811	79167	328295	24769
LT231373LU	17782483	2362928	911240	180682	157053	84281	28345	139526	792002	19430
LT046027RL	14100209	2697311	1587940	208201	125788	82486	42597	91682	782789	48161
LT211728RU	12891412	2553327	1677534	330357	186965	127776	85922	184752	431195	97252
LT157253RL	12543094	1706940	799725	206435	151225	187183	68008	262902	1142929	40589
LT024952RU	16787970	3010388	1597304	224823	132422	76504	33829	169378	457151	40964
LT058156LU	18227216	3699930	1432076	216678	95029	63077	25028	70410	164091	44289
LT145086RU	11748895	2458361	1172349	172608	142818	137560	47534	132069	605989	32506
LT294945LU	17844793	2537061	1009494	306700	145176	87081	40345	89247	491877	74949
LT046027RL_HiSeq	37666746	6907261	3864403	503922	306955	193917	106988	221250	1673258	128144
LT211728RU_HiSeq	30065153	5761067	3714938	744803	438669	286699	216592	442862	837833	239400
LT157253RL_HiSeq	33220032	4304453	2030987	512400	359706	449125	165428	668849	2555426	103915
LT024952RU_HiSeq	43395368	7415679	3792685	522902	314015	180960	83167	346231	754493	106131
LT185066RL_HiSeq	44070079	5042433	2596485	286251	132172	78588	45395	50116	68811	48234
LT291578RU_HiSeq	35886955	7144868	3334297	340755	196774	118847	61181	80637	110675	60527
LT201348LL	3441389	2496915	336438	38228	25726	39038	237246	86136	98972	10704
LT135390LL	2705440	820831	313716	25315	11776	9198	6148	8754	6141	6434
LT045346RU	2922443	1665352	341347	23678	19622	10461	9473	11778	19295	26769
LT163513RL	4366733	2604015	425601	63284	35324	43133	130515	75506	115073	18470
LT109097LL	2709181	991392	250468	22246	14986	12053	22774	19789	23057	6354
LT155982RU	3593011	1409848	364711	91068	20922	14245	15856	18641	17957	13192
LT131432RU	3710689	1602780	443610	44047	17882	12514	10866	10983	13992	9303
LT059975LU	3607224	2051895	302811	37646	20294	16040	28327	25103	35083	15248
LT156171LL	2858143	1095318	246337	26714	16907	26589	40031	22569	43558	9950
LT001600RL	2733117	725125	285008	31797	10649	8498	6353	9246	5678	6179
LT245084RU	3733674	1331029	326304	33394	20097	16729	16088	20367	31286	8552
LT275526RU	2333184	886673	238994	24647	11191	9244	7782	9201	11116	5057
LT175399RU	2615387	1227186	266871	23018	16855	16342	21850	20268	38727	7556
LT173946RL	2910743	1309572	260309	36767	17440	14301	27291	24416	26875	7094
LT156481LL	4104812	1889372	430447	38503	20719	15924	12011	14793	16303	21091
LT130350RU	2746314	1243642	314568	22675	15552	9119	5966	10705	7461	11640
LT038591LU	1602679	654138	174995	11873	9417	5469	8521	7504	12082	4212
LT093297LU	2826358	2066792	283123	35997	21184	26508	132738	45518	90790	10497
LT105618RL	2562601	1632959	251153	30587	32424	26996	139226	56583	84674	10373
LT025997RU	1411696	472615	112411	16055	8160	6936	4490	10219	9636	4595
LT046539RL	2917240	1300503	259984	30384	16272	14576	23218	28501	15486	7331
LT286056RU	3676126	1455358	354886	24307	18379	18266	24613	18454	24435	9645
LT020426LU	5284029	2093663	524689	33608	23011	13770	12079	14471	14991	12917
LT195011RL	3341695	783155	244203	21077	10650	7661	6342	7603	4242	6254
LT002501RL	4475042	1585047	410214	33508	16231	21507	17070	12481	11312	12125
LT081077RU	2687984	972801	326448	15119	15186	8597	8933	8763	9451	6543
LT000216LL	3161170	1317265	327630	25975	18951	19399	24665	23171	25841	8885
LT004173LL	3849983	844096	375412	25125	14775	9364	6677	7332	3709	7142
LT139649RU	2903389	1287430	289300	26313	16798	17051	22279	13101	29109	9433
LT081282RM	3231312	1441696	352174	22541	15316	10841	13506	10792	11753	8278
LT084406RU	3469365	1974183	304371	39796	35837	49816	87977	62208	90118	10463
LT192758RU	2235783	815097	208143	22361	14605	12547	9840	13234	15041	7141
LT287158LU	2731053	1591911	248901	28207	16288	22173	41523	23473	19327	7666
LT241811LL	3765118	1627122	358371	24536	19312	14172	11787	13091	16204	9937
LT233620RU	3806054	1348180	400090	22436	17543	9161	6313	10044	14457	10871
LT140046RU	3887763	1424827	373510	24789	19065	15035	10343	15015	14556	9634
LT236045LL	3336072	1922220	300445	31949	21408	31302	54730	27580	38554	9087
LT056301LL	3396849	1202770	388471	27050	19379	15788	19535	25747	20184	7819
LT280560LU	3805358	1519670	335073	30845	20324	23913	35389	19763	27010	11177
LT207073RU	3091605	881700	264939	22214	14213	9533	6648	7756	6952	6384
LT191020LI	6121827	3679178	799753	98948	44239	27840	46378	36613	74749	17484
LT030662LL	7310161	2554784	655536	73724	35146	30045	47397	33509	49382	16856
LT009099RL	6821260	4249277	673921	279412	80338	62574	166412	94047	329657	30881
LT075917RU	31713	3763	1036	396	308	128	139	154	131	56
LT147610LL	3382895	1600570	355947	27159	16512	12661	38602	22452	21539	7448
LT195484RU	7159	3366	1470	373	621	338	244	514	286	244
LT089723LL	6129881	2950726	625992	65975	32536	20570	26699	25895	32170	16716
LT082461RL	3278049	1293138	333620	26082	18002	16382	43007	22613	41705	8221
LT151920RL	5242554	2942622	564664	32652	27129	17003	29520	23544	49604	23624
LT203431RL	2840568	1822596	266535	40115	29384	33806	112434	102761	119350	12738
LT115840LL	2157810	1033263	228383	29714	16049	14254	19753	14874	30663	7794
LT005256RL	1315496	1005861	137510	20340	12730	15693	115316	39652	38790	5681
LT279828RU	1909922	1041642	189458	18825	10148	8895	17681	15648	17089	4086
LT162479RU	3039644	1275168	294124	25706	14204	11357	16102	18495	25346	7130
LT244399LU	2192018	685047	268352	17199	10196	6899	4019	6868	4600	5565
LT051993RU	1855852	796984	236817	14511	9110	6131	4392	7472	7672	6818
LT191675RL	1383286	775444	131876	12466	8661	8891	38469	13287	21665	3417
LT266817LL	1332763	629473	134069	9265	6052	5534	19056	11163	8049	2637
LT198741LU	1837375	626054	225063	19101	7921	5273	3305	4445	3615	4583
LT115251RU	2175329	1490347	180020	28923	18152	27268	139377	50669	76266	7765
LT245983LU	6955470	3001727	671417	44289	37301	46741	51984	37384	40157	19086
LT269763RL	10722737	2436779	760289	49582	27348	16198	18569	21724	11964	11265
LT263636RU	4485622	2401349	448697	38691	32634	37153	164648	48943	65275	16348
LT238531RU	5925432	4553212	625274	54017	31728	24416	41361	41373	32576	15566
LT155318RL	5735613	3231804	440667	38318	25827	43886	143843	86665	60038	11048
LT058319LU	151606	70733	16178	1207	1270	839	1019	1188	875	633
LT143944LL	540363	150787	50400	5163	2112	1487	1441	1962	1888	909
LT185970RL	1104150	485168	124024	5277	4557	2270	2088	3272	2397	2979
LT126767LL	2646444	1602096	341595	12321	45449	11444	29300	20870	46691	12175
LT013011LU	6319088	2066609	575551	37081	22314	17149	20771	16705	14576	13192
LT113005RU	4407226	1683687	404607	28458	26741	27129	68400	37118	36143	10991
LT181845RU	2598901	1080237	255078	43543	20272	18145	20155	28369	22854	10418
LT166240RM	8026920	4443975	815523	41468	26668	24740	66247	27830	38637	17335
LT099879RL	4231228	1616369	387047	26231	30976	29452	78356	33252	40212	7823
LT017495RL	5768953	2566938	591679	43866	28751	36882	49572	33384	46729	15172
LT231101RL	4005845	2047555	396618	32443	81620	55590	152495	88482	158335	14017
LT178929RL	4207008	932027	360012	31161	13928	10739	6615	9203	4601	8983
LT038075LL	3040586	1667020	464969	20173	18988	10541	8932	14070	10865	14130
LT080750LL	3125980	1140972	356170	25663	29328	16481	22586	21061	27890	8989
LT221510LU	3158264	2917286	405581	31940	25946	20139	22847	18255	26978	18366
LT002410RM	3367152	1238619	370007	30276	18186	17521	22111	21444	31191	8496
LT175949LL	2666244	1036916	292479	29818	10929	7732	5147	7677	5501	7630
LT190870RU	2792175	1066186	306223	27621	13312	12257	10284	10445	13042	7130
LT150340LU	2821245	959047	269210	23411	14483	19543	16106	14985	21355	5208
LT121928RL	2388393	519837	212809	24585	8214	6654	4699	8873	3881	5008
LT060406RL	1899108	864840	178674	27211	12456	16540	30035	21768	27391	6051
LT077264RU	3031639	1453561	264460	39833	17532	23200	46294	24471	27801	7721
LT136415RU	2499478	1383016	304442	25934	15995	14546	17826	17628	21906	8296
LT026534RL	3182681	1137167	328844	35252	15180	19228	23733	14958	27573	8257
LT282562RM	2889374	1428024	348965	24289	14913	8830	10205	10791	13300	6838
LT286300LU	3310186	1312708	372661	23475	13133	8380	6066	9666	6859	7185
LT284144LU	2315586	1114376	317022	23297	12631	8242	6483	7977	7767	12861
LT055841LL	3334205	1362707	353577	32188	18850	15850	14556	20463	25010	7255
LT053283RU	3174695	1331986	340882	24773	13109	13047	10586	8675	12639	8126
LT142159RU	2514705	1098707	267954	25508	12880	13001	15111	10664	11825	5123
LT154455RU	2683404	1163004	263383	28602	17455	22635	45703	29728	25271	7368
LT167891LU	2492641	1064258	229075	169516	42009	29032	46475	48188	87011	7931
LT043343LU	3023868	1357993	336919	28522	16086	15917	27048	16872	15750	7457
LT048637LL	2807868	830159	205743	25754	13180	11852	10789	18810	16885	5044
LT166565RU	2606859	1529306	288914	22664	13810	9318	7942	11831	16674	11806
LT127070RL	4380129	1224127	332124	29815	19202	10950	7779	9634	7069	10852
LT184347RU	2107821	1118851	177009	14533	13688	16549	29507	26741	24990	6454
LT253677RL	4291712	1385645	381445	49388	24540	21408	19213	22835	19515	11249
LT036383LL	4279881	1315541	357322	43052	24736	22406	37813	31525	20650	9489
LT295133LL	3506193	1381212	273467	31925	17838	22350	52611	40291	19528	8305
LT106561LL	5313927	1422101	582478	52472	25665	14077	10107	14381	6258	11872
LT256221LL	4106165	1146288	351434	24925	16196	8263	6532	11473	5492	11017
LT172093RL	1939586	739125	173550	12557	9846	6066	7558	10733	9123	4259
LT180102RL	4622449	1549415	420641	31663	23571	13584	14457	13755	13276	9763
LT196199RU	4770147	1857714	335172	41394	21414	21288	25392	22377	26155	15653
LT000379LU	5703217	1899305	555118	39371	28840	19827	23089	32569	21921	11535
LT058691LU	1892374	1028154	192754	15948	16363	10526	13337	13877	21098	14349
LT130546RU	3731577	1875134	401647	26327	39524	18234	35058	77925	50998	15382
LT206871LU	2832405	1191382	217526	21575	15900	13146	20916	21657	21559	4577
LT096430LU	850795	428817	75317	7375	5841	6890	13754	11392	9144	2428
LT144462RU	5214396	1784850	467430	44928	25256	22541	20314	20774	16948	10715
LT047152LL	8222208	2059323	741910	56499	32604	18735	13236	30540	10435	16443
LT109231RU	4206465	1847802	400003	31670	25418	17442	24136	28414	27332	10915
LT173597LL	4048404	1513737	369531	47406	34778	33107	49230	48623	36732	14849
LT285906LL	1714004	751112	157179	15692	6620	4425	4207	4784	2631	4020
LT075462RU	4461654	1893823	437833	34684	21336	19451	25148	13729	15351	11133
LT016556LU	3357339	1274066	333341	30675	14977	28315	47135	17844	16402	7441
LT171097RL	3668067	1527540	391084	30247	17581	11154	8472	10677	7663	10043
LT297451LU	3003302	1595666	282498	33415	16896	16992	27091	13796	11526	8156
LT120371LL	4681756	1387203	557719	37575	19993	11017	8570	10918	5901	11676
LT076421LL	2882903	1327333	308427	30794	19319	25137	55727	17093	19428	6647
LT285671LU	3470399	1815495	376869	46064	20862	16727	28571	15314	10801	8729
LT076617LL	2779987	1511728	247488	23375	19972	20738	41068	23467	22166	6500
LT236519LL	2474490	1221820	236953	27868	37796	51009	154872	63336	59060	9992
