Freq_COPD	Freq_Control	p-value	FDR
MI0000077_MIMAT0000076	0.0062999047688814	0.0795755968169761	1.56024029238765e-21	4.041022357284e-19
MI0017450_MIMAT0019982	0	0.0636604774535809	9.72923232622008e-39	5.039742344982e-36
MI0000477_MIMAT0000449	0.0024906600249066	0.0583554376657825	1.41207299019286e-20	2.43817936306634e-18
MI0015825_MIMAT0016847	0.0028569335579811	0.0424403183023873	6.17963604691191e-13	4.57293067471481e-11
MI0003129_MIMAT0002809	0.0008058017727639	0.0318302387267905	1.23647482507043e-13	1.06748993231081e-11
MI0000458_MIMAT0000434	0.0002930188264596	0.0318302387267905	1.97325387939659e-16	2.55536377381859e-14
MI0003685_MIMAT0003339	0.0015383488389129	0.0291777188328912	3.55237140057574e-10	1.67284398681658e-08
MI0000088_MIMAT0000088	0.0141381583766757	0.026525198938992	0.0732823996446943	0.564638352922673
MI0000786_MIMAT0000731	7.32547066149e-05	0.026525198938992	1.87715784915818e-15	1.94473553172787e-13
MI0000803_MIMAT0004693	0.0017581129587576	0.0212201591511936	1.51029460401419e-06	6.51943837399457e-05
MI0000786_MIMAT0000732	0.0027104241447513	0.0212201591511936	2.2805957591728e-05	0.000656304779584174
MI0016902_MIMAT0019074	0.0041755182770493	0.0185676392572944	0.00159335903322156	0.0250109084608718
MI0000083_MIMAT0000082	7.32547066149e-05	0.0185676392572944	7.49345438507372e-11	3.88160937146819e-09
MI0000750_MIMAT0000082	7.32547066149e-05	0.0185676392572944	7.49345438507372e-11	3.88160937146819e-09
MI0001448_MIMAT0003393	0	0.0185676392572944	9.58821332138926e-12	6.20836812559955e-10
MI0000465_MIMAT0000440	0.0009523111859937	0.0159151193633952	7.30262819782263e-06	0.000270197243319437
MI0000300_MIMAT0004570	0.0009523111859937	0.0159151193633952	7.30262819782263e-06	0.000270197243319437
MI0005530_MIMAT0002881	0.0149439601494396	0.013262599469496	1	1
MI0005717_MIMAT0002881	0.0149439601494396	0.013262599469496	1	1
MI0003196_MIMAT0002881	0.0149439601494396	0.013262599469496	1	1
MI0000088_MIMAT0000087	0.0076184894879496	0.013262599469496	0.220624508771026	1
MI0019115_MIMAT0022258	0.0071057065416453	0.013262599469496	0.201437139241757	1
MI0005568_MIMAT0004958	0.0011720753058384	0.013262599469496	0.000194708977030116	0.00438518478702608
MI0003836_MIMAT0003888	0.001465094132298	0.013262599469496	0.000465338460655693	0.00911203223748056
MI0000282_MIMAT0000263	0.0015383488389129	0.0106100795755968	0.00415249262023294	0.0553835899931707
MI0000268_MIMAT0000255	0.0008058017727639	0.0106100795755968	0.00055394661557697	0.010248012388174
MI0000742_MIMAT0000685	0.0069591971284155	0.00795755968169761	0.748359504370399	1
MI0000254_MIMAT0004550	0.009523111859937	0.00795755968169761	1	1
MI0000434_MIMAT0000415	0.0019046223719874	0.00795755968169761	0.0419968951448964	0.35662937188617
MI0000811_MIMAT0004699	0.0054208482895026	0.00795755968169761	0.464396370443116	1
MI0000458_MIMAT0000433	0.0017581129587576	0.00795755968169761	0.0349561135879757	0.306902827772397
MI0000109_MIMAT0000101	0.0003662735330745	0.00795755968169761	0.00097521554405042	0.0157863016193162
MI0000108_MIMAT0000101	0.0005127829463043	0.00795755968169761	0.00200758773959966	0.0305861896797831
MI0000805_MIMAT0004694	0.0008058017727639	0.00795755968169761	0.00562210985577636	0.0696475378354161
MI0017308_MIMAT0019761	0.0002197641198447	0.00795755968169761	0.00036258432342435	0.00751274718135254
MI0005763_MIMAT0004984	0.0006592923595341	0.00795755968169761	0.00353626065272201	0.0495076491381081
MI0005766_MIMAT0004984	0.0006592923595341	0.00795755968169761	0.00353626065272201	0.0495076491381081
MI0005765_MIMAT0004984	0.0006592923595341	0.00795755968169761	0.00353626065272201	0.0495076491381081
MI0000805_MIMAT0000753	0.003662735330745	0.00795755968169761	0.17019325271043	0.95546947392845
MI0003684_MIMAT0003338	0.0001465094132298	0.00795755968169761	0.000184982132557549	0.00435548839385503
MI0000455_MIMAT0000430	7.32547066149e-05	0.00795755968169761	7.55009021732657e-05	0.00195547336628758
MI0016756_MIMAT0018932	0	0.00795755968169761	1.9260434227874e-05	0.000586876760590512
MI0000476_MIMAT0000430	0	0.00795755968169761	1.9260434227874e-05	0.000586876760590512
MI0000263_MIMAT0004553	0	0.00795755968169761	1.9260434227874e-05	0.000586876760590512
MI0003132_MIMAT0003161	0.0083510365540986	0.00530503978779841	0.772627399698623	1
MI0001648_MIMAT0001541	0.0236612702366127	0.00530503978779841	0.0136789056986806	0.154036372867751
MI0003823_MIMAT0010251	0.0235880155299978	0.00530503978779841	0.0136268758138399	0.154036372867751
MI0000285_MIMAT0000266	0.0169950919346568	0.00530503978779841	0.0985799481056616	0.677029053299562
MI0000743_MIMAT0004677	0.0173613654677313	0.00530503978779841	0.100755448720284	0.677029053299562
MI0000743_MIMAT0000686	0.0103289136327009	0.00530503978779841	0.596479223553516	1
MI0003184_MIMAT0002871	0.0019778770786023	0.00530503978779841	0.182609030731499	0.95546947392845
MI0005544_MIMAT0004928	0.0067394330085708	0.00530503978779841	1	1
MI0000681_MIMAT0000646	0.0037359900373599	0.00530503978779841	0.654163625360568	1
MI0000479_MIMAT0000451	0.0043220276902791	0.00530503978779841	0.680006007034964	1
MI0000108_MIMAT0009196	0.0002930188264596	0.00530503978779841	0.0100582431272248	0.118412953179601
MI0003840_MIMAT0018926	0.0002197641198447	0.00530503978779841	0.0068263568592913	0.0822337872816952
MI0000482_MIMAT0004611	0.0001465094132298	0.00530503978779841	0.00416980696859779	0.0553835899931707
MI0016749_MIMAT0018926	0	0.00530503978779841	0.000720391601280427	0.0120375112730084
MI0000749_MIMAT0000692	0	0.00530503978779841	0.000720391601280427	0.0120375112730084
MI0003684_MIMAT0022711	0	0.00530503978779841	0.000720391601280427	0.0120375112730084
MI0000446_MIMAT0004592	0.0116474983517691	0.0026525198938992	0.135464731109113	0.825538008406125
MI0003629_MIMAT0003284	0.0041755182770493	0.0026525198938992	1	1
MI0000814_MIMAT0000763	0.0010255658926086	0.0026525198938992	0.33558289572843	1
MI0000457_MIMAT0000432	0.0005127829463043	0.0026525198938992	0.195870995877005	0.985059959847462
MI0003678_MIMAT0003332	0.0027104241447513	0.0026525198938992	1	1
MI0000273_MIMAT0000261	0.0054208482895026	0.0026525198938992	0.724941799993345	1
MI0003560_MIMAT0003218	0.02197641198447	0.0026525198938992	0.00564709766233104	0.0696475378354161
MI0000459_MIMAT0000435	0.0034429712109003	0.0026525198938992	1	1
MI0000449_MIMAT0000426	0.0068859424218006	0.0026525198938992	0.523480321495332	1
MI0017343_MIMAT0019814	0.0005127829463043	0.0026525198938992	0.195870995877005	0.985059959847462
MI0000085_MIMAT0004501	0.0331843820965497	0.0026525198938992	8.75952819420517e-05	0.00216068362123728
MI0003556_MIMAT0003214	0.0003662735330745	0.0026525198938992	0.150820642803251	0.887785147410043
MI0000271_MIMAT0000258	0.0057871218225771	0.0026525198938992	0.726673875119515	1
MI0005565_MIMAT0004954	0.0006592923595341	0.0026525198938992	0.2385373569926	1
MI0000255_MIMAT0004551	0.0009523111859937	0.0026525198938992	0.317214834695184	1
MI0000101_MIMAT0000097	0.0002930188264596	0.0026525198938992	0.127360242857246	0.785388164286352
MI0000479_MIMAT0004610	0.0026371694381364	0.0026525198938992	1	1
MI0000813_MIMAT0000762	0.0002197641198447	0.0026525198938992	0.103253465657655	0.677029053299562
MI0000471_MIMAT0000445	0.0042487729836642	0.0026525198938992	1	1
MI0001150_MIMAT0001080	7.32547066149e-05	0.0026525198938992	0.0530292519687225	0.429205508121847
MI0014197_MIMAT0015041	0.0032232070910556	0.0026525198938992	1	1
MI0017432_MIMAT0019952	0.0003662735330745	0.0026525198938992	0.150820642803251	0.887785147410043
MI0003593_MIMAT0003251	0.0005860376529192	0.0026525198938992	0.21749415098074	1
MI0003612_MIMAT0003251	0.0005860376529192	0.0026525198938992	0.21749415098074	1
MI0003815_MIMAT0005797	0.0005860376529192	0.0026525198938992	0.21749415098074	1
MI0001733_MIMAT0001635	0.0003662735330745	0.0026525198938992	0.150820642803251	0.887785147410043
