Freq_COPD	Freq_Control	p-value	FDR
MI0003560_MIMAT0003218	0.0277158639403043	0.0026525198938992	0.000862330977779932	0.0172785577399609
MI0001648_MIMAT0001541	0.0245178796395	0.00530503978779841	0.00930041198045586	0.122720070278698
MI0000737_MIMAT0001620	0.0221920728752786	0	0.000416776854840246	0.00867216455648359
MI0000089_MIMAT0000089	0.0188971799592984	0	0.00138468516871931	0.0249704892092383
MI0003560_MIMAT0004792	0.0185095454985948	0	0.00216329446190658	0.0354649182997411
MI0003823_MIMAT0010251	0.0182188196530672	0.00530503978779841	0.0703668857906795	0.530744073221475
MI0000342_MIMAT0000318	0.0171528248861324	0	0.00312687942920532	0.048332622034288
MI0000089_MIMAT0004504	0.0154084698129664	0	0.00725624132912161	0.100657091257815
MI0005545_MIMAT0004929	0.0150208353522628	0	0.00695663947030336	0.0990405777219505
MI0003673_MIMAT0003327	0.0143424750460316	0	0.0108167079824086	0.139329500440072
MI0003127_MIMAT0002808	0.0129857544335691	0	0.0156142849060199	0.187718402981262
MI0003128_MIMAT0002808	0.0129857544335691	0	0.0156142849060199	0.187718402981262
MI0000743_MIMAT0000686	0.011338307975579	0.00530503978779841	0.446932600563921	1
MI0000743_MIMAT0004677	0.0111444907452273	0.00530503978779841	0.444825321146917	1
MI0003129_MIMAT0002809	0.0105630390541719	0.0318302387267905	0.00113396777676324	0.0219098774010326
MI0010629_MIMAT0010133	0.010466130438996	0	0.0342309980533994	0.302675083995204
MI0000742_MIMAT0000685	0.0103692218238201	0.00795755968169761	1	1
MI0005531_MIMAT0004909	0.00930322705688536	0	0.0512333530480508	0.426419138446085
MI0000737_MIMAT0000682	0.00910940982653358	0	0.0816371327694275	0.588875851043471
MI0000742_MIMAT0004676	0.00881868398100591	0	0.0789722969414768	0.57735152223431
MI0003167_MIMAT0002859	0.00872177536583002	0	0.078316688252924	0.57735152223431
MI0003172_MIMAT0002859	0.00746196336854346	0	0.116345881210091	0.767599045544627
MI0000269_MIMAT0000256	0.00746196336854346	0	0.116345881210091	0.767599045544627
MI0000289_MIMAT0000256	0.00746196336854346	0	0.116345881210091	0.767599045544627
MI0000088_MIMAT0000087	0.0071712375230158	0.013262599469496	0.203897883378684	1
MI0003134_MIMAT0002816	0.0071712375230158	0	0.115505807631509	0.767599045544627
MI0005540_MIMAT0004921	0.00707432890783991	0	0.186679619264801	1
MI0000451_MIMAT0000427	0.00658978583196046	0	0.177672824355856	1
MI0000450_MIMAT0000427	0.00658978583196046	0	0.177672824355856	1
MI0000789_MIMAT0000736	0.00649287721678457	0	0.176516982256529	1
MI0016902_MIMAT0019074	0.00639596860160868	0.0185676392572944	0.0141497599507356	0.178023724031348
MI0000683_MIMAT0000257	0.00629905998643279	0	0.174893546292349	1
MI0003132_MIMAT0002813	0.00610524275608102	0	0.174223933894215	1
MI0000270_MIMAT0000257	0.00610524275608102	0	0.174223933894215	1
MI0001446_MIMAT0004749	0.00600833414090513	0	0.174260505486151	1
MI0000477_MIMAT0000449	0.00591142552572924	0.0583554376657825	5.72075599051816e-14	1.03164299695678e-11
