SNP	SNP_Chr	SNP_Start	Number_genes	SNP_BIO
kgp1625425_C	chr11	104991190	229	nothing
rs1483025_A	chr11	105005936	224	CASP5 RefSeq Summary (NM_001136110): This gene encodes a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes which undergo proteolytic processing at conserved aspartic residues to produce two subunits, large and small, that dimerize to form the active enzyme. Overexpression of the active form of this enzyme induces apoptosis in fibroblasts. Max, a central component of the Myc/Max/Mad transcription regulation network important for cell growth, differentiation, and apoptosis, is cleaved by this protein; this process requires Fas-mediated dephosphorylation of Max. The expression of this gene is regulated by interferon-gamma and lipopolysaccharide. Alternatively spliced transcript variants have been identified for this gene.
rs1785864_A	chr11	104955489	67	CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms.
rs1847293_G	chr11	104979669	63	nothing
rs1699081_G	chr11	104958571	58	CASP4 RefSeq Summary (NM_033306): This gene encodes a protein that is a member of the cysteine-aspartic acid protease (caspase) family. Sequential activation of caspases plays a central role in the execution-phase of cell apoptosis. Caspases exist as inactive proenzymes composed of a prodomain and a large and small protease subunit. Activation of caspases requires proteolytic processing at conserved internal aspartic residues to generate a heterodimeric enzyme consisting of the large and small subunits. This caspase is able to cleave and activate its own precursor protein, as well as caspase 1 precursor. When overexpressed, this gene induces cell apoptosis. Alternative splicing results in transcript variants encoding distinct isoforms.
rs1792753_T	chr11	104930676	53	nothing
rs17740112_G	chr18	33791013	27	nothing
rs4147268_T	chr1	217084292	23	ESRRG RefSeq Summary (NM_206595): This gene encodes a member of the estrogen receptor-related receptor (ESRR) family, which belongs to the nuclear hormone receptor superfamily. All members of the ESRR family share an almost identical DNA binding domain, which is composed of two C4-type zinc finger motifs. The ESRR members are orphan nuclear receptors; they bind to the estrogen response element and steroidogenic factor 1 response element, and activate genes controlled by both response elements in the absence of any ligands. The ESRR family is closely related to the estrogen receptor (ER) family. They share target genes, co-regulators and promoters, and by targeting the same set of genes, the ESRRs seem to interfere with the ER-mediated estrogen response in various ways. It has been reported that the family member encoded by this gene functions as a transcriptional activator of DNA cytosine-5-methyltransferases 1 (Dnmt1) expression by direct binding to its response elements in the DNMT1 promoters, modulates cell proliferation and estrogen signaling in breast cancer, and negatively regulates bone morphogenetic protein 2-induced osteoblast differentiation and bone formation. Multiple alternatively spliced transcript variants have been identified, which mainly differ at the 5' end and some of which encode protein isoforms differing in the N-terminal region. TISSUE SPECIFICITY: Expressed in the heart, kidney, brain, lung, bone marrow, adrenal gland, trachea, spinal cord and thyroid gland.
rs1145786_G	chr6	91621876	12	nothing
kgp3700677_G	chr8	3921805	8	CSMD1 Description: The sequence shown here is derived from an Ensembl automatic analysis pipeline and should be considered as preliminary data.
rs525770_C	chr13	96719729	5	HS6ST3 RefSeq Summary (NM_153456): Heparan sulfate (HS) sulfotransferases, such as HS6ST3, modify HS to generate structures required for interactions between HS and a variety of proteins. These interactions are implicated in proliferation and differentiation, adhesion, migration, inflammation, blood coagulation, and other diverse processes.
kgp2263580_T	chr12	122591751	5	KNTC1 RefSeq Summary (NM_014708): This gene encodes a protein that is one of many involved in mechanisms to ensure proper chromosome segregation during cell division. Experimental evidence indicated that the encoded protein functioned in a similar manner to that of the Drosophila rough deal protein.
kgp4823739_A	chr12	122606176	5	KNTC1 RefSeq Summary (NM_014708): This gene encodes a protein that is one of many involved in mechanisms to ensure proper chromosome segregation during cell division. Experimental evidence indicated that the encoded protein functioned in a similar manner to that of the Drosophila rough deal protein.
kgp2031814_G	chr8	116650468	3	EIF3H Description: Homo sapiens eukaryotic translation initiation factor 3, subunit H (EIF3H), mRNA. 
kgp11583676_A	chr2	6836803	2	NRIR RefSeq Summary (NR_126359): This gene is thought to produce a functional long non-coding RNA. This transcript may be a negative regulator of interferon response. 
