ID	Chrom	Start	Stop
MI0000060_MIMAT0000062_96938242	chr9	96938242	96938262
MI0000060_MIMAT0000062_96938243	chr9	96938243	96938263
MI0000060_MIMAT0000062_96938244	chr9	96938244	96938264
MI0000060_MIMAT0000062_96938245	chr9	96938245	96938265
MI0000060_MIMAT0000062_96938246	chr9	96938246	96938266
MI0000060_MIMAT0000062_96938247	chr9	96938247	96938267
MI0000060_MIMAT0000062_96938249	chr9	96938249	96938269
MI0000060_MIMAT0004481_96938290	chr9	96938290	96938310
MI0000060_MIMAT0004481_96938295	chr9	96938295	96938315
MI0000060_MIMAT0004481_96938296	chr9	96938296	96938316
MI0000060_MIMAT0004481_96938297	chr9	96938297	96938317
MI0000061_MIMAT0010195_122017252	chr11	122017252	122017272
MI0000062_MIMAT0000062_46508631	chr22	46508631	46508651
MI0000062_MIMAT0000062_46508632	chr22	46508632	46508652
MI0000062_MIMAT0000062_46508633	chr22	46508633	46508653
MI0000062_MIMAT0000062_46508634	chr22	46508634	46508654
MI0000062_MIMAT0000062_46508635	chr22	46508635	46508655
MI0000062_MIMAT0000062_46508637	chr22	46508637	46508657
MI0000063_MIMAT0000063_46509570	chr22	46509570	46509590
MI0000063_MIMAT0000063_46509571	chr22	46509571	46509591
MI0000063_MIMAT0000063_46509572	chr22	46509572	46509592
MI0000063_MIMAT0004482_46509619	chr22	46509619	46509639
MI0000063_MIMAT0004482_46509625	chr22	46509625	46509645
MI0000063_MIMAT0004482_46509626	chr22	46509626	46509646
MI0000064_MIMAT0000064_17912156	chr21	17912156	17912176
MI0000064_MIMAT0000064_17912157	chr21	17912157	17912177
MI0000064_MIMAT0000064_17912158	chr21	17912158	17912178
MI0000064_MIMAT0000064_17912159	chr21	17912159	17912179
MI0000065_MIMAT0000065_96941122	chr9	96941122	96941142
MI0000065_MIMAT0000065_96941123	chr9	96941123	96941143
MI0000065_MIMAT0000065_96941124	chr9	96941124	96941144
MI0000065_MIMAT0004484_96941177	chr9	96941177	96941197
MI0000065_MIMAT0004484_96941178	chr9	96941178	96941198
MI0000066_MIMAT0000066_52196045	chr19	52196045	52196065
MI0000066_MIMAT0000066_52196046	chr19	52196046	52196066
MI0000066_MIMAT0000066_52196047	chr19	52196047	52196067
MI0000066_MIMAT0004485_52196091	chr19	52196091	52196111
MI0000066_MIMAT0004485_52196092	chr19	52196092	52196112
MI0000067_MIMAT0000067_96938634	chr9	96938634	96938654
MI0000067_MIMAT0000067_96938635	chr9	96938635	96938655
MI0000067_MIMAT0000067_96938636	chr9	96938636	96938656
MI0000067_MIMAT0000067_96938637	chr9	96938637	96938657
MI0000067_MIMAT0000067_96938638	chr9	96938638	96938658
MI0000067_MIMAT0000067_96938639	chr9	96938639	96938659
MI0000067_MIMAT0000067_96938640	chr9	96938640	96938660
MI0000067_MIMAT0004486_96938691	chr9	96938691	96938711
MI0000068_MIMAT0004487_53584178	chrX	53584178	53584198
MI0000069_MIMAT0000068_50623324	chr13	50623324	50623344
MI0000070_MIMAT0000069_50623178	chr13	50623178	50623198
MI0000070_MIMAT0000069_50623179	chr13	50623179	50623199
MI0000070_MIMAT0000069_50623182	chr13	50623182	50623202
MI0000070_MIMAT0000069_50623183	chr13	50623183	50623203
MI0000070_MIMAT0000069_50623184	chr13	50623184	50623204
MI0000070_MIMAT0004489_50623142	chr13	50623142	50623162
MI0000071_MIMAT0000070_92002871	chr13	92002871	92002891
MI0000071_MIMAT0000070_92002872	chr13	92002872	92002892
MI0000071_MIMAT0000070_92002873	chr13	92002873	92002893
MI0000071_MIMAT0000071_92002909	chr13	92002909	92002929
