SNP	SNP_Chr	SNP_Start	SNP_BIOLOGY
rs4810702_C	chr20	46438075	 AL831934; AK054905
rs10887800_A	chr10	90075843	NA
kgp1452379_A	chr9	29262218	NA
kgp9156803_A	chr9	29284567	NA
kgp5547826_C	chr11	50497205	NA
kgp10971432_T	chr11	50531319	NA
kgp3321351_T	chr11	50630255	NA
kgp11713496_A	chr11	50668576	NA
rs2734335_T	chr6	31893944	"EHMT2 RefSeq Summary (NM_001289413): This gene encodes a methyltransferase that methylates lysine residues of histone H3. Methylation of H3 at lysine 9 by this protein results in recruitment of additional epigenetic regulators and repression of transcription. This gene was initially thought to be two different genes, NG36 and G9a, adjacent to each other in the HLA locus. Alternative splicing results in multiple transcript variants."
rs4459934_G	chr3	77123961	"ROBO2 RefSeq Summary (NM_001128929): The protein encoded by this gene belongs to the ROBO family, part of the immunoglobulin superfamily of proteins that are highly conserved from fly to human. The encoded protein is a transmembrane receptor for the slit homolog 2 protein and functions in axon guidance and cell migration. Mutations in this gene are associated with vesicoureteral reflux, characterized by the backward flow of urine from the bladder into the ureters or the kidney. Alternative splicing results in multiple transcript variants."
rs7618116_T	chr3	116475786	NA
rs1502635_C	chr5	3718000	NA
kgp10062335_G	chr3	77124814	"ROBO2 RefSeq Summary (NM_001128929): The protein encoded by this gene belongs to the ROBO family, part of the immunoglobulin superfamily of proteins that are highly conserved from fly to human. The encoded protein is a transmembrane receptor for the slit homolog 2 protein and functions in axon guidance and cell migration. Mutations in this gene are associated with vesicoureteral reflux, characterized by the backward flow of urine from the bladder into the ureters or the kidney. Alternative splicing results in multiple transcript variants."
kgp8291667_G	chr1	203019737	"TMEM183A Description: Homo sapiens transmembrane protein 183A (TMEM183A), mRNA. "
kgp9807667_T	chr3	116470735	NA
rs5754521_C	chr22	33711229	"LARGE RefSeq Summary (NM_004737): This gene, which is one of the largest in the human genome, encodes a member of the N-acetylglucosaminyltransferase gene family. It encodes a glycosyltransferase which participates in glycosylation of alpha-dystroglycan, and may carry out the synthesis of glycoprotein and glycosphingolipid sugar chains. It may also be involved in the addition of a repeated disaccharide unit. Mutations in this gene cause MDC1D, a novel form of congenital muscular dystrophy with severe mental retardation and abnormal glycosylation of alpha-dystroglycan. Alternative splicing of this gene results in two transcript variants that encode the same protein."
kgp1528198_G	chr8	40701174	"ZMAT4 Description: Homo sapiens zinc finger, matrin-type 4 (ZMAT4), transcript variant 1, mRNA."
kgp9118259_C	chr3	20991567	NA
rs8040009_C	chr15	93044339	RGMA RefSeq Summary (NM_001166289): This gene encodes a member of the repulsive guidance molecule family. The encoded protein is a glycosylphosphatidylinositol-anchored glycoprotein that functions as an axon guidance protein in the developing and adult central nervous system. This protein may also function as a tumor suppressor in some cancers. Alternate splicing results in multiple transcript variants.
kgp10443495_C	chr15	47160627	NA
kgp6798216_A	chr4	15097194	RP11-665G4.1; LOC101929095
kgp4645850_T	chr10	90076715	NA
rs2116574_A	chr3	116475071	NA
kgp6639144_T	chr20	59746812	"PHACTR3 RefSeq Summary (NM_080672): This gene encodes a member of the phosphatase and actin regulator protein family. The encoded protein is associated with the nuclear scaffold in proliferating cells, and binds to actin and the catalytic subunit of protein phosphatase-1, suggesting that it functions as a regulatory subunit of protein phosphatase-1. Alternative splicing results in multiple transcript variants. TISSUE SPECIFICITY: Abundantly expressed in brain. Also found in several tumors such as lung carcinomas, nervous tumors and HL-60 leukemia cells. Isoform 3 is the major form in U-937, GOTO and HL- 60 leukemia cells."
kgp9719798_T	chr18	1100677	RP11-78F17.1
rs7861757_A	chr9	24850287	NA
kgp9529007_A	chr21	34371429	AP000320.6
kgp9837358_A	chr4	175444281	NA
rs619146_C	chr5	112584120	NA
kgp11233344_T	chr4	175444365	NA
kgp5151865_T	chr4	175445470	NA
rs2834058_A	chr21	34374072	AP000320.6
kgp6113667_C	chr17	77178	BC152720
kgp7356554_T	chr21	34361251	JD560962
rs4817510_T	chr21	34361251	JD560962
kgp7779523_T	chr10	82627614	"NRG3 RefSeq Summary (NM_001165973): This gene is a member of the neuregulin gene family. This gene family encodes ligands for the transmembrane tyrosine kinase receptors ERBB3 and ERBB4 - members of the epidermal growth factor receptor family. Ligand binding activates intracellular signaling cascades and the induction of cellular responses including proliferation, migration, differentiation, and survival or apoptosis. This gene encodes neuregulin 3 (NRG3). NRG3 has been shown to activate the tyrosine phosphorylation of its cognate receptor, ERBB4, and is thought to influence neuroblast proliferation, migration and differentiation by signalling through ERBB4. NRG3 also promotes mammary differentiation during embryogenesis. Linkage studies have implicated this gene as a susceptibility locus for schizophrenia and schizoaffective disorder. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional transcript variants have been described but their biological validity has not been verified.TISSUE SPECIFICITY: Highly expressed in most regions of the brain with the exception of corpus callosum. Expressed at lower level in testis. Not detected in heart, placenta, lung, liver, skeletal muscle, kidney, pancreas, spleen, thymus, prostate, ovary, small intestine, colon and peripheral blood leukocytes."
rs17530621_G	chr4	42227497	NA
kgp3896926_C	chr4	175440265	NA
rs497849_A	chr10	69753620	NA
kgp1508742_C	chr1	22590331	"EPHA8 RefSeq Summary (NM_020526): This gene encodes a member of the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related receptors have been implicated in mediating developmental events, particularly in the nervous system. Receptors in the EPH subfamily typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. The protein encoded by this gene functions as a receptor for ephrin A2, A3 and A5 and plays a role in short-range contact-mediated axonal guidance during development of the mammalian nervous system. "
kgp1186044_A	chr20	2211194	LOC388780; RP11-128M1.1
rs10178367_C	chr2	75832122	KJ901783
rs7641416_A	chr3	190861768	NA
kgp7699251_A	chr4	87216407	"KLHL8 Description: Homo sapiens kelch-like family member 8 (KLHL8), transcript variant 2, mRNA. "
rs4815056_T	chr20	2211673	LOC388780
